anio,tabla,pregunta,dimension,ambito,total_empresas,total_trabajadores,varones,mujeres,distribucion_porcentual_varones,distribucion_porcentual_mujeres
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,78417,2063597,1033181,1030416,50.1,49.9
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,19308,684706,516465,168241,75.4,24.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,59671,1072798,498284,574514,46.4,53.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",16991,874806,508691,366115,58.1,41.9
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades profesionales, científicas y técnicas",25982,670695,329510,341185,49.1,50.9
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,18647,1360227,631534,728693,46.4,53.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",21057,411264,202665,208599,49.3,50.7
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,51772,1029346,650800,378546,63.2,36.8
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Aragón,9507,243137,157232,85905,64.7,35.3
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Asturias (Principado de),6004,139970,88781,51189,63.4,36.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Balears (Illes),10489,246888,143629,103259,58.2,41.8
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Canarias,16018,355581,205528,150053,57.8,42.2
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cantabria,3798,86336,53546,32790,62,38
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla-La Mancha,12481,249585,168697,80888,67.6,32.4
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Castilla y León,14629,318440,193780,124660,60.9,39.1
