RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Periodo,Total,año,mes
Total,África,Pernoctaciones,2021M02,48908,2021,2
Total,África,Pernoctaciones,2021M01,36432,2021,1
Total,UE28 sin España,Viajero,2025M12,2025444,2025,12
Total,UE28 sin España,Viajero,2025M11,2292597,2025,11
Total,UE28 sin España,Viajero,2025M10,4329736,2025,10
Total,UE28 sin España,Viajero,2025M09,4862246,2025,9
Total,UE28 sin España,Viajero,2025M08,5571038,2025,8
Total,UE28 sin España,Viajero,2025M07,5054488,2025,7
Total,UE28 sin España,Viajero,2025M06,4716549,2025,6
Total,UE28 sin España,Viajero,2025M05,4795475,2025,5
Total,UE28 sin España,Viajero,2025M04,3785014,2025,4
Total,UE28 sin España,Viajero,2025M03,2662744,2025,3
Total,UE28 sin España,Viajero,2025M02,2154825,2025,2
Total,UE28 sin España,Viajero,2025M01,1825073,2025,1
Total,UE28 sin España,Viajero,2024M12,1895720,2024,12
Total,UE28 sin España,Viajero,2024M11,2165701,2024,11
Total,UE28 sin España,Viajero,2024M10,4277218,2024,10
Total,UE28 sin España,Viajero,2024M09,4737284,2024,9
Total,UE28 sin España,Viajero,2024M08,5497950,2024,8
Total,UE28 sin España,Viajero,2024M07,4925734,2024,7
Total,UE28 sin España,Viajero,2024M06,4508616,2024,6
Total,UE28 sin España,Viajero,2024M05,4858287,2024,5
Total,UE28 sin España,Viajero,2024M04,3635880,2024,4
Total,UE28 sin España,Viajero,2024M03,2752827,2024,3
Total,UE28 sin España,Viajero,2024M02,2096462,2024,2
Total,UE28 sin España,Viajero,2024M01,1792026,2024,1
Total,UE28 sin España,Viajero,2023M12,1868826,2023,12
Total,UE28 sin España,Viajero,2023M11,2094452,2023,11
Total,UE28 sin España,Viajero,2023M10,4015396,2023,10
Total,UE28 sin España,Viajero,2023M09,4647646,2023,9
Total,UE28 sin España,Viajero,2023M08,5257323,2023,8
Total,UE28 sin España,Viajero,2023M07,4793411,2023,7
Total,UE28 sin España,Viajero,2023M06,4315582,2023,6
Total,UE28 sin España,Viajero,2023M05,4333018,2023,5
Total,UE28 sin España,Viajero,2023M04,3468023,2023,4
Total,UE28 sin España,Viajero,2023M03,2315549,2023,3
Total,UE28 sin España,Viajero,2023M02,1857190,2023,2
Total,UE28 sin España,Viajero,2023M01,1601974,2023,1
Total,UE28 sin España,Viajero,2022M12,1664772,2022,12
Total,UE28 sin España,Viajero,2022M11,1845085,2022,11
Total,UE28 sin España,Viajero,2022M10,3628462,2022,10
Total,UE28 sin España,Viajero,2022M09,4333707,2022,9
Total,UE28 sin España,Viajero,2022M08,5020252,2022,8
Total,UE28 sin España,Viajero,2022M07,4598843,2022,7
Total,UE28 sin España,Viajero,2022M06,4141074,2022,6
Total,UE28 sin España,Viajero,2022M05,3960229,2022,5
Total,UE28 sin España,Viajero,2022M04,3000215,2022,4
Total,UE28 sin España,Viajero,2022M03,1925680,2022,3
Total,UE28 sin España,Viajero,2022M02,1490629,2022,2
Total,UE28 sin España,Viajero,2022M01,1006483,2022,1
Total,UE28 sin España,Viajero,2021M12,1188446,2021,12
Total,UE28 sin España,Viajero,2021M11,1597380,2021,11
Total,UE28 sin España,Viajero,2021M10,2765272,2021,10
Total,UE28 sin España,Viajero,2021M09,2603461,2021,9
Total,UE28 sin España,Viajero,2021M08,2838575,2021,8
Total,UE28 sin España,Viajero,2021M07,2172898,2021,7
Total,UE28 sin España,Viajero,2021M06,1183912,2021,6
Total,UE28 sin España,Viajero,2021M05,637966,2021,5
Total,UE28 sin España,Viajero,2021M04,283137,2021,4
Total,UE28 sin España,Viajero,2021M03,217114,2021,3
Total,UE28 sin España,Viajero,2021M02,137034,2021,2
Total,UE28 sin España,Viajero,2021M01,155613,2021,1
Total,UE28 sin España,Pernoctaciones,2025M12,8447314,2025,12
Total,UE28 sin España,Pernoctaciones,2025M11,9485982,2025,11
Total,UE28 sin España,Pernoctaciones,2025M10,19520403,2025,10
Total,UE28 sin España,Pernoctaciones,2025M09,22177396,2025,9
Total,UE28 sin España,Pernoctaciones,2025M08,25846203,2025,8
Total,UE28 sin España,Pernoctaciones,2025M07,23689354,2025,7
Total,UE28 sin España,Pernoctaciones,2025M06,21442583,2025,6
Total,UE28 sin España,Pernoctaciones,2025M05,19743767,2025,5
Total,UE28 sin España,Pernoctaciones,2025M04,14688016,2025,4
Total,UE28 sin España,Pernoctaciones,2025M03,11048743,2025,3
Total,UE28 sin España,Pernoctaciones,2025M02,9179888,2025,2
Total,UE28 sin España,Pernoctaciones,2025M01,8398704,2025,1
Total,UE28 sin España,Pernoctaciones,2024M12,8184678,2024,12
Total,UE28 sin España,Pernoctaciones,2024M11,9264872,2024,11
Total,UE28 sin España,Pernoctaciones,2024M10,19240066,2024,10
Total,UE28 sin España,Pernoctaciones,2024M09,21958849,2024,9
Total,UE28 sin España,Pernoctaciones,2024M08,25550159,2024,8
Total,UE28 sin España,Pernoctaciones,2024M07,23378883,2024,7
Total,UE28 sin España,Pernoctaciones,2024M06,20861157,2024,6
Total,UE28 sin España,Pernoctaciones,2024M05,20291987,2024,5
Total,UE28 sin España,Pernoctaciones,2024M04,14316301,2024,4
Total,UE28 sin España,Pernoctaciones,2024M03,11709654,2024,3
Total,UE28 sin España,Pernoctaciones,2024M02,9087492,2024,2
Total,UE28 sin España,Pernoctaciones,2024M01,8222153,2024,1
Total,UE28 sin España,Pernoctaciones,2023M12,8040748,2023,12
Total,UE28 sin España,Pernoctaciones,2023M11,9159741,2023,11
Total,UE28 sin España,Pernoctaciones,2023M10,18116276,2023,10
Total,UE28 sin España,Pernoctaciones,2023M09,21451781,2023,9
Total,UE28 sin España,Pernoctaciones,2023M08,24549644,2023,8
Total,UE28 sin España,Pernoctaciones,2023M07,22332223,2023,7
Total,UE28 sin España,Pernoctaciones,2023M06,19495555,2023,6
Total,UE28 sin España,Pernoctaciones,2023M05,18204178,2023,5
Total,UE28 sin España,Pernoctaciones,2023M04,13682510,2023,4
Total,UE28 sin España,Pernoctaciones,2023M03,9674481,2023,3
Total,UE28 sin España,Pernoctaciones,2023M02,8082324,2023,2
Total,UE28 sin España,Pernoctaciones,2023M01,7420891,2023,1
Total,UE28 sin España,Pernoctaciones,2022M12,7249806,2022,12
Total,UE28 sin España,Pernoctaciones,2022M11,8091857,2022,11
Total,UE28 sin España,Pernoctaciones,2022M10,16112899,2022,10
Total,UE28 sin España,Pernoctaciones,2022M09,19828387,2022,9
Total,UE28 sin España,Pernoctaciones,2022M08,23827710,2022,8
Total,UE28 sin España,Pernoctaciones,2022M07,21634939,2022,7
Total,UE28 sin España,Pernoctaciones,2022M06,18976581,2022,6
Total,UE28 sin España,Pernoctaciones,2022M05,16277162,2022,5
Total,UE28 sin España,Pernoctaciones,2022M04,12127864,2022,4
Total,UE28 sin España,Pernoctaciones,2022M03,8418647,2022,3
Total,UE28 sin España,Pernoctaciones,2022M02,6188423,2022,2
Total,UE28 sin España,Pernoctaciones,2022M01,4797514,2022,1
Total,UE28 sin España,Pernoctaciones,2021M12,5416266,2021,12
Total,UE28 sin España,Pernoctaciones,2021M11,7208615,2021,11
Total,UE28 sin España,Pernoctaciones,2021M10,12147980,2021,10
Total,UE28 sin España,Pernoctaciones,2021M09,11899635,2021,9
Total,UE28 sin España,Pernoctaciones,2021M08,12937221,2021,8
Total,UE28 sin España,Pernoctaciones,2021M07,9678268,2021,7
Total,UE28 sin España,Pernoctaciones,2021M06,4455490,2021,6
Total,UE28 sin España,Pernoctaciones,2021M05,2127949,2021,5
Total,UE28 sin España,Pernoctaciones,2021M04,972156,2021,4
Total,UE28 sin España,Pernoctaciones,2021M03,706606,2021,3
Total,UE28 sin España,Pernoctaciones,2021M02,453475,2021,2
Total,UE28 sin España,Pernoctaciones,2021M01,555332,2021,1
Total,UE27_2020 sin España,Viajero,2025M12,1542023,2025,12
Total,UE27_2020 sin España,Viajero,2025M11,1710116,2025,11
Total,UE27_2020 sin España,Viajero,2025M10,3151268,2025,10
Total,UE27_2020 sin España,Viajero,2025M09,3466593,2025,9
Total,UE27_2020 sin España,Viajero,2025M08,4214669,2025,8
Total,UE27_2020 sin España,Viajero,2025M07,3668383,2025,7
Total,UE27_2020 sin España,Viajero,2025M06,3289596,2025,6
Total,UE27_2020 sin España,Viajero,2025M05,3363935,2025,5
Total,UE27_2020 sin España,Viajero,2025M04,2864417,2025,4
Total,UE27_2020 sin España,Viajero,2025M03,1967200,2025,3
Total,UE27_2020 sin España,Viajero,2025M02,1611727,2025,2
Total,UE27_2020 sin España,Viajero,2025M01,1374505,2025,1
Total,UE27_2020 sin España,Viajero,2024M12,1443569,2024,12
Total,UE27_2020 sin España,Viajero,2024M11,1621102,2024,11
Total,UE27_2020 sin España,Viajero,2024M10,3164669,2024,10
Total,UE27_2020 sin España,Viajero,2024M09,3391782,2024,9
Total,UE27_2020 sin España,Viajero,2024M08,4164680,2024,8
Total,UE27_2020 sin España,Viajero,2024M07,3614448,2024,7
Total,UE27_2020 sin España,Viajero,2024M06,3142754,2024,6
Total,UE27_2020 sin España,Viajero,2024M05,3495766,2024,5
Total,UE27_2020 sin España,Viajero,2024M04,2773937,2024,4
Total,UE27_2020 sin España,Viajero,2024M03,2063051,2024,3
Total,UE27_2020 sin España,Viajero,2024M02,1576948,2024,2
Total,UE27_2020 sin España,Viajero,2024M01,1363225,2024,1
Total,UE27_2020 sin España,Viajero,2023M12,1420821,2023,12
Total,UE27_2020 sin España,Viajero,2023M11,1574388,2023,11
Total,UE27_2020 sin España,Viajero,2023M10,2938171,2023,10
Total,UE27_2020 sin España,Viajero,2023M09,3332417,2023,9
Total,UE27_2020 sin España,Viajero,2023M08,3971387,2023,8
Total,UE27_2020 sin España,Viajero,2023M07,3496025,2023,7
Total,UE27_2020 sin España,Viajero,2023M06,3001868,2023,6
Total,UE27_2020 sin España,Viajero,2023M05,3118954,2023,5
Total,UE27_2020 sin España,Viajero,2023M04,2681089,2023,4
Total,UE27_2020 sin España,Viajero,2023M03,1722878,2023,3
Total,UE27_2020 sin España,Viajero,2023M02,1407046,2023,2
Total,UE27_2020 sin España,Viajero,2023M01,1242977,2023,1
Total,UE27_2020 sin España,Viajero,2022M12,1248251,2022,12
Total,UE27_2020 sin España,Viajero,2022M11,1396573,2022,11
Total,UE27_2020 sin España,Viajero,2022M10,2670862,2022,10
Total,UE27_2020 sin España,Viajero,2022M09,3096103,2022,9
Total,UE27_2020 sin España,Viajero,2022M08,3798898,2022,8
Total,UE27_2020 sin España,Viajero,2022M07,3352820,2022,7
Total,UE27_2020 sin España,Viajero,2022M06,2917080,2022,6
Total,UE27_2020 sin España,Viajero,2022M05,2842525,2022,5
Total,UE27_2020 sin España,Viajero,2022M04,2290155,2022,4
Total,UE27_2020 sin España,Viajero,2022M03,1444583,2022,3
Total,UE27_2020 sin España,Viajero,2022M02,1148286,2022,2
Total,UE27_2020 sin España,Viajero,2022M01,822382,2022,1
Total,UE27_2020 sin España,Viajero,2021M12,989017,2021,12
Total,UE27_2020 sin España,Viajero,2021M11,1280206,2021,11
Total,UE27_2020 sin España,Viajero,2021M10,2188664,2021,10
Total,UE27_2020 sin España,Viajero,2021M09,2121711,2021,9
Total,UE27_2020 sin España,Viajero,2021M08,2411917,2021,8
Total,UE27_2020 sin España,Viajero,2021M07,1857556,2021,7
Total,UE27_2020 sin España,Viajero,2021M06,1101889,2021,6
Total,UE27_2020 sin España,Viajero,2021M05,604125,2021,5
Total,UE27_2020 sin España,Viajero,2021M04,264579,2021,4
Total,UE27_2020 sin España,Viajero,2021M03,203176,2021,3
Total,UE27_2020 sin España,Viajero,2021M02,127428,2021,2
Total,UE27_2020 sin España,Viajero,2021M01,145623,2021,1
Total,UE27_2020 sin España,Pernoctaciones,2025M12,5882494,2025,12
Total,UE27_2020 sin España,Pernoctaciones,2025M11,6518198,2025,11
Total,UE27_2020 sin España,Pernoctaciones,2025M10,13078679,2025,10
Total,UE27_2020 sin España,Pernoctaciones,2025M09,14742210,2025,9
Total,UE27_2020 sin España,Pernoctaciones,2025M08,17994071,2025,8
Total,UE27_2020 sin España,Pernoctaciones,2025M07,15906745,2025,7
Total,UE27_2020 sin España,Pernoctaciones,2025M06,13735079,2025,6
Total,UE27_2020 sin España,Pernoctaciones,2025M05,12684210,2025,5
Total,UE27_2020 sin España,Pernoctaciones,2025M04,10303310,2025,4
Total,UE27_2020 sin España,Pernoctaciones,2025M03,7675534,2025,3
Total,UE27_2020 sin España,Pernoctaciones,2025M02,6406676,2025,2
Total,UE27_2020 sin España,Pernoctaciones,2025M01,5795080,2025,1
Total,UE27_2020 sin España,Pernoctaciones,2024M12,5700696,2024,12
Total,UE27_2020 sin España,Pernoctaciones,2024M11,6464159,2024,11
Total,UE27_2020 sin España,Pernoctaciones,2024M10,13127641,2024,10
Total,UE27_2020 sin España,Pernoctaciones,2024M09,14686770,2024,9
Total,UE27_2020 sin España,Pernoctaciones,2024M08,17885634,2024,8
Total,UE27_2020 sin España,Pernoctaciones,2024M07,15912194,2024,7
Total,UE27_2020 sin España,Pernoctaciones,2024M06,13322200,2024,6
Total,UE27_2020 sin España,Pernoctaciones,2024M05,13564072,2024,5
Total,UE27_2020 sin España,Pernoctaciones,2024M04,10110329,2024,4
Total,UE27_2020 sin España,Pernoctaciones,2024M03,8279948,2024,3
Total,UE27_2020 sin España,Pernoctaciones,2024M02,6418360,2024,2
Total,UE27_2020 sin España,Pernoctaciones,2024M01,5768507,2024,1
Total,UE27_2020 sin España,Pernoctaciones,2023M12,5564842,2023,12
Total,UE27_2020 sin España,Pernoctaciones,2023M11,6410179,2023,11
Total,UE27_2020 sin España,Pernoctaciones,2023M10,12112928,2023,10
Total,UE27_2020 sin España,Pernoctaciones,2023M09,14214031,2023,9
Total,UE27_2020 sin España,Pernoctaciones,2023M08,17061542,2023,8
Total,UE27_2020 sin España,Pernoctaciones,2023M07,15088168,2023,7
Total,UE27_2020 sin España,Pernoctaciones,2023M06,12397110,2023,6
Total,UE27_2020 sin España,Pernoctaciones,2023M05,11917742,2023,5
Total,UE27_2020 sin España,Pernoctaciones,2023M04,9865714,2023,4
Total,UE27_2020 sin España,Pernoctaciones,2023M03,6716417,2023,3
Total,UE27_2020 sin España,Pernoctaciones,2023M02,5724077,2023,2
Total,UE27_2020 sin España,Pernoctaciones,2023M01,5300164,2023,1
Total,UE27_2020 sin España,Pernoctaciones,2022M12,4977109,2022,12
Total,UE27_2020 sin España,Pernoctaciones,2022M11,5706730,2022,11
Total,UE27_2020 sin España,Pernoctaciones,2022M10,10753493,2022,10
Total,UE27_2020 sin España,Pernoctaciones,2022M09,13059643,2022,9
Total,UE27_2020 sin España,Pernoctaciones,2022M08,16532978,2022,8
Total,UE27_2020 sin España,Pernoctaciones,2022M07,14630503,2022,7
Total,UE27_2020 sin España,Pernoctaciones,2022M06,12181139,2022,6
Total,UE27_2020 sin España,Pernoctaciones,2022M05,10714287,2022,5
Total,UE27_2020 sin España,Pernoctaciones,2022M04,8628125,2022,4
Total,UE27_2020 sin España,Pernoctaciones,2022M03,5885469,2022,3
Total,UE27_2020 sin España,Pernoctaciones,2022M02,4427345,2022,2
Total,UE27_2020 sin España,Pernoctaciones,2022M01,3704569,2022,1
Total,UE27_2020 sin España,Pernoctaciones,2021M12,4226490,2021,12
Total,UE27_2020 sin España,Pernoctaciones,2021M11,5451664,2021,11
Total,UE27_2020 sin España,Pernoctaciones,2021M10,9074503,2021,10
Total,UE27_2020 sin España,Pernoctaciones,2021M09,9361556,2021,9
Total,UE27_2020 sin España,Pernoctaciones,2021M08,10562277,2021,8
Total,UE27_2020 sin España,Pernoctaciones,2021M07,8117217,2021,7
Total,UE27_2020 sin España,Pernoctaciones,2021M06,4216061,2021,6
Total,UE27_2020 sin España,Pernoctaciones,2021M05,2039766,2021,5
Total,UE27_2020 sin España,Pernoctaciones,2021M04,921207,2021,4
Total,UE27_2020 sin España,Pernoctaciones,2021M03,670790,2021,3
Total,UE27_2020 sin España,Pernoctaciones,2021M02,426130,2021,2
Total,UE27_2020 sin España,Pernoctaciones,2021M01,518862,2021,1
Total,Resto del Mundo,Viajero,2025M12,242456,2025,12
Total,Resto del Mundo,Viajero,2025M11,247791,2025,11
Total,Resto del Mundo,Viajero,2025M10,359379,2025,10
Total,Resto del Mundo,Viajero,2025M09,351251,2025,9
Total,Resto del Mundo,Viajero,2025M08,314069,2025,8
Total,Resto del Mundo,Viajero,2025M07,348227,2025,7
Total,Resto del Mundo,Viajero,2025M06,354597,2025,6
Total,Resto del Mundo,Viajero,2025M05,384834,2025,5
Total,Resto del Mundo,Viajero,2025M04,299650,2025,4
Total,Resto del Mundo,Viajero,2025M03,233069,2025,3
Total,Resto del Mundo,Viajero,2025M02,196538,2025,2
Total,Resto del Mundo,Viajero,2025M01,229784,2025,1
Total,Resto del Mundo,Viajero,2024M12,205318,2024,12
Total,Resto del Mundo,Viajero,2024M11,243834,2024,11
Total,Resto del Mundo,Viajero,2024M10,335723,2024,10
Total,Resto del Mundo,Viajero,2024M09,349119,2024,9
Total,Resto del Mundo,Viajero,2024M08,312168,2024,8
Total,Resto del Mundo,Viajero,2024M07,331313,2024,7
Total,Resto del Mundo,Viajero,2024M06,330668,2024,6
Total,Resto del Mundo,Viajero,2024M05,359002,2024,5
Total,Resto del Mundo,Viajero,2024M04,300003,2024,4
Total,Resto del Mundo,Viajero,2024M03,228303,2024,3
Total,Resto del Mundo,Viajero,2024M02,207281,2024,2
Total,Resto del Mundo,Viajero,2024M01,210846,2024,1
Total,Resto del Mundo,Viajero,2023M12,207736,2023,12
Total,Resto del Mundo,Viajero,2023M11,222631,2023,11
Total,Resto del Mundo,Viajero,2023M10,335662,2023,10
Total,Resto del Mundo,Viajero,2023M09,349814,2023,9
Total,Resto del Mundo,Viajero,2023M08,319399,2023,8
Total,Resto del Mundo,Viajero,2023M07,344249,2023,7
Total,Resto del Mundo,Viajero,2023M06,335588,2023,6
Total,Resto del Mundo,Viajero,2023M05,323677,2023,5
Total,Resto del Mundo,Viajero,2023M04,264705,2023,4
Total,Resto del Mundo,Viajero,2023M03,199347,2023,3
Total,Resto del Mundo,Viajero,2023M02,159677,2023,2
Total,Resto del Mundo,Viajero,2023M01,168982,2023,1
Total,Resto del Mundo,Viajero,2022M12,174620,2022,12
Total,Resto del Mundo,Viajero,2022M11,183932,2022,11
Total,Resto del Mundo,Viajero,2022M10,253855,2022,10
Total,Resto del Mundo,Viajero,2022M09,259103,2022,9
Total,Resto del Mundo,Viajero,2022M08,255421,2022,8
Total,Resto del Mundo,Viajero,2022M07,277955,2022,7
Total,Resto del Mundo,Viajero,2022M06,223122,2022,6
Total,Resto del Mundo,Viajero,2022M05,197101,2022,5
Total,Resto del Mundo,Viajero,2022M04,137188,2022,4
Total,Resto del Mundo,Viajero,2022M03,105146,2022,3
Total,Resto del Mundo,Viajero,2022M02,74419,2022,2
Total,Resto del Mundo,Viajero,2022M01,63302,2022,1
Total,Resto del Mundo,Viajero,2021M12,93998,2021,12
Total,Resto del Mundo,Viajero,2021M11,94978,2021,11
Total,Resto del Mundo,Viajero,2021M10,108253,2021,10
Total,Resto del Mundo,Viajero,2021M09,112409,2021,9
Total,Resto del Mundo,Viajero,2021M08,111958,2021,8
Total,Resto del Mundo,Viajero,2021M07,97612,2021,7
Total,Resto del Mundo,Viajero,2021M06,57045,2021,6
Total,Resto del Mundo,Viajero,2021M05,33048,2021,5
Total,Resto del Mundo,Viajero,2021M04,16979,2021,4
Total,Resto del Mundo,Viajero,2021M03,14926,2021,3
Total,Resto del Mundo,Viajero,2021M02,9780,2021,2
Total,Resto del Mundo,Viajero,2021M01,11969,2021,1
Total,Resto del Mundo,Pernoctaciones,2025M12,574350,2025,12
Total,Resto del Mundo,Pernoctaciones,2025M11,546538,2025,11
Total,Resto del Mundo,Pernoctaciones,2025M10,770159,2025,10
Total,Resto del Mundo,Pernoctaciones,2025M09,798357,2025,9
Total,Resto del Mundo,Pernoctaciones,2025M08,847548,2025,8
Total,Resto del Mundo,Pernoctaciones,2025M07,924235,2025,7
Total,Resto del Mundo,Pernoctaciones,2025M06,833394,2025,6
Total,Resto del Mundo,Pernoctaciones,2025M05,822430,2025,5
Total,Resto del Mundo,Pernoctaciones,2025M04,677127,2025,4
Total,Resto del Mundo,Pernoctaciones,2025M03,516544,2025,3
Total,Resto del Mundo,Pernoctaciones,2025M02,458440,2025,2
Total,Resto del Mundo,Pernoctaciones,2025M01,533940,2025,1
Total,Resto del Mundo,Pernoctaciones,2024M12,482345,2024,12
Total,Resto del Mundo,Pernoctaciones,2024M11,547110,2024,11
Total,Resto del Mundo,Pernoctaciones,2024M10,741023,2024,10
Total,Resto del Mundo,Pernoctaciones,2024M09,814550,2024,9
Total,Resto del Mundo,Pernoctaciones,2024M08,838069,2024,8
Total,Resto del Mundo,Pernoctaciones,2024M07,905151,2024,7
Total,Resto del Mundo,Pernoctaciones,2024M06,782651,2024,6
Total,Resto del Mundo,Pernoctaciones,2024M05,765034,2024,5
Total,Resto del Mundo,Pernoctaciones,2024M04,638384,2024,4
Total,Resto del Mundo,Pernoctaciones,2024M03,488906,2024,3
Total,Resto del Mundo,Pernoctaciones,2024M02,471542,2024,2
Total,Resto del Mundo,Pernoctaciones,2024M01,470275,2024,1
Total,Resto del Mundo,Pernoctaciones,2023M12,460683,2023,12
Total,Resto del Mundo,Pernoctaciones,2023M11,469708,2023,11
Total,Resto del Mundo,Pernoctaciones,2023M10,721921,2023,10
Total,Resto del Mundo,Pernoctaciones,2023M09,822039,2023,9
Total,Resto del Mundo,Pernoctaciones,2023M08,861030,2023,8
Total,Resto del Mundo,Pernoctaciones,2023M07,954839,2023,7
Total,Resto del Mundo,Pernoctaciones,2023M06,779938,2023,6
Total,Resto del Mundo,Pernoctaciones,2023M05,720766,2023,5
Total,Resto del Mundo,Pernoctaciones,2023M04,615635,2023,4
Total,Resto del Mundo,Pernoctaciones,2023M03,473051,2023,3
Total,Resto del Mundo,Pernoctaciones,2023M02,397339,2023,2
Total,Resto del Mundo,Pernoctaciones,2023M01,406918,2023,1
Total,Resto del Mundo,Pernoctaciones,2022M12,431913,2022,12
Total,Resto del Mundo,Pernoctaciones,2022M11,457672,2022,11
Total,Resto del Mundo,Pernoctaciones,2022M10,619268,2022,10
Total,Resto del Mundo,Pernoctaciones,2022M09,638933,2022,9
Total,Resto del Mundo,Pernoctaciones,2022M08,740209,2022,8
Total,Resto del Mundo,Pernoctaciones,2022M07,786180,2022,7
Total,Resto del Mundo,Pernoctaciones,2022M06,570394,2022,6
Total,Resto del Mundo,Pernoctaciones,2022M05,500607,2022,5
Total,Resto del Mundo,Pernoctaciones,2022M04,393612,2022,4
Total,Resto del Mundo,Pernoctaciones,2022M03,308959,2022,3
Total,Resto del Mundo,Pernoctaciones,2022M02,207960,2022,2
Total,Resto del Mundo,Pernoctaciones,2022M01,170238,2022,1
Total,Resto del Mundo,Pernoctaciones,2021M12,251756,2021,12
Total,Resto del Mundo,Pernoctaciones,2021M11,251182,2021,11
Total,Resto del Mundo,Pernoctaciones,2021M10,280371,2021,10
Total,Resto del Mundo,Pernoctaciones,2021M09,279016,2021,9
Total,Resto del Mundo,Pernoctaciones,2021M08,330890,2021,8
Total,Resto del Mundo,Pernoctaciones,2021M07,293609,2021,7
Total,Resto del Mundo,Pernoctaciones,2021M06,137067,2021,6
Total,Resto del Mundo,Pernoctaciones,2021M05,80171,2021,5
Total,Resto del Mundo,Pernoctaciones,2021M04,44906,2021,4
Total,Resto del Mundo,Pernoctaciones,2021M03,42081,2021,3
Total,Resto del Mundo,Pernoctaciones,2021M02,27409,2021,2
Total,Resto del Mundo,Pernoctaciones,2021M01,35959,2021,1
América (sin EEUU),,Viajero,2025M12,278089,2025,12
América (sin EEUU),,Viajero,2025M11,314366,2025,11
América (sin EEUU),,Viajero,2025M10,513393,2025,10
América (sin EEUU),,Viajero,2025M09,551723,2025,9
América (sin EEUU),,Viajero,2025M08,496137,2025,8
América (sin EEUU),,Viajero,2025M07,547514,2025,7
América (sin EEUU),,Viajero,2025M06,499579,2025,6
América (sin EEUU),,Viajero,2025M05,526407,2025,5
América (sin EEUU),,Viajero,2025M04,415274,2025,4
América (sin EEUU),,Viajero,2025M03,292291,2025,3
América (sin EEUU),,Viajero,2025M02,234407,2025,2
América (sin EEUU),,Viajero,2025M01,271985,2025,1
América (sin EEUU),,Viajero,2024M12,259055,2024,12
América (sin EEUU),,Viajero,2024M11,310273,2024,11
América (sin EEUU),,Viajero,2024M10,503613,2024,10
América (sin EEUU),,Viajero,2024M09,539247,2024,9
América (sin EEUU),,Viajero,2024M08,459857,2024,8
América (sin EEUU),,Viajero,2024M07,508140,2024,7
América (sin EEUU),,Viajero,2024M06,457393,2024,6
América (sin EEUU),,Viajero,2024M05,505456,2024,5
América (sin EEUU),,Viajero,2024M04,364968,2024,4
América (sin EEUU),,Viajero,2024M03,318762,2024,3
América (sin EEUU),,Viajero,2024M02,235324,2024,2
América (sin EEUU),,Viajero,2024M01,263204,2024,1
América (sin EEUU),,Viajero,2023M12,251354,2023,12
América (sin EEUU),,Viajero,2023M11,290492,2023,11
América (sin EEUU),,Viajero,2023M10,469114,2023,10
América (sin EEUU),,Viajero,2023M09,502969,2023,9
América (sin EEUU),,Viajero,2023M08,455100,2023,8
América (sin EEUU),,Viajero,2023M07,483156,2023,7
América (sin EEUU),,Viajero,2023M06,445741,2023,6
América (sin EEUU),,Viajero,2023M05,473902,2023,5
América (sin EEUU),,Viajero,2023M04,366005,2023,4
América (sin EEUU),,Viajero,2023M03,263751,2023,3
América (sin EEUU),,Viajero,2023M02,207331,2023,2
América (sin EEUU),,Viajero,2023M01,235376,2023,1
América (sin EEUU),,Viajero,2022M12,217689,2022,12
América (sin EEUU),,Viajero,2022M11,245004,2022,11
América (sin EEUU),,Viajero,2022M10,402817,2022,10
América (sin EEUU),,Viajero,2022M09,441760,2022,9
América (sin EEUU),,Viajero,2022M08,375613,2022,8
América (sin EEUU),,Viajero,2022M07,412300,2022,7
América (sin EEUU),,Viajero,2022M06,374258,2022,6
América (sin EEUU),,Viajero,2022M05,361850,2022,5
América (sin EEUU),,Viajero,2022M04,279019,2022,4
América (sin EEUU),,Viajero,2022M03,192296,2022,3
América (sin EEUU),,Viajero,2022M02,140962,2022,2
América (sin EEUU),,Viajero,2022M01,149400,2022,1
América (sin EEUU),,Viajero,2021M12,164989,2021,12
América (sin EEUU),,Viajero,2021M11,175767,2021,11
América (sin EEUU),,Viajero,2021M10,219647,2021,10
América (sin EEUU),,Viajero,2021M09,193581,2021,9
América (sin EEUU),,Viajero,2021M08,159379,2021,8
América (sin EEUU),,Viajero,2021M07,144735,2021,7
América (sin EEUU),,Viajero,2021M06,78070,2021,6
América (sin EEUU),,Viajero,2021M05,46383,2021,5
América (sin EEUU),,Viajero,2021M04,31012,2021,4
América (sin EEUU),,Viajero,2021M03,29989,2021,3
América (sin EEUU),,Viajero,2021M02,22893,2021,2
América (sin EEUU),,Viajero,2021M01,26791,2021,1
América (sin EEUU),,Pernoctaciones,2025M12,649733,2025,12
América (sin EEUU),,Pernoctaciones,2025M11,758462,2025,11
América (sin EEUU),,Pernoctaciones,2025M10,1191052,2025,10
América (sin EEUU),,Pernoctaciones,2025M09,1276866,2025,9
América (sin EEUU),,Pernoctaciones,2025M08,1185343,2025,8
América (sin EEUU),,Pernoctaciones,2025M07,1323120,2025,7
América (sin EEUU),,Pernoctaciones,2025M06,1151325,2025,6
América (sin EEUU),,Pernoctaciones,2025M05,1201024,2025,5
América (sin EEUU),,Pernoctaciones,2025M04,999517,2025,4
América (sin EEUU),,Pernoctaciones,2025M03,740271,2025,3
América (sin EEUU),,Pernoctaciones,2025M02,583674,2025,2
