apartment_id,grupo_valoracion
3783948,Excelentes (9-10)
3789390,Excelentes (9-10)
3789444,Insuficiente Bajo (0-3)
3797696,Excelentes (9-10)
3798387,Notables (7-9)
3800639,Excelentes (9-10)
3802228,Excelentes (9-10)
3806708,Excelentes (9-10)
3809219,Excelentes (9-10)
3810717,Excelentes (9-10)
3816076,Excelentes (9-10)
3826233,Insuficiente Bajo (0-3)
3826309,Excelentes (9-10)
3827423,Excelentes (9-10)
3845305,Insuficiente Bajo (0-3)
3846956,Notables (7-9)
3847290,Excelentes (9-10)
3853696,Insuficiente Bajo (0-3)
3855575,Excelentes (9-10)
3871145,Excelentes (9-10)
3879404,Notables (7-9)
3880175,Excelentes (9-10)
3880319,Excelentes (9-10)
3888649,Insuficiente Bajo (0-3)
3896109,Notables (7-9)
3903082,Excelentes (9-10)
3907905,Suficientes (5-7)
3911744,Notables (7-9)
3916107,Insuficiente Bajo (0-3)
3919665,Excelentes (9-10)
3922394,Notables (7-9)
3923206,Excelentes (9-10)
3927638,Notables (7-9)
3933737,Notables (7-9)
3938824,Notables (7-9)
3942375,Excelentes (9-10)
3942411,Excelentes (9-10)
3942917,Excelentes (9-10)
3943443,Excelentes (9-10)
3948967,Excelentes (9-10)
3950979,Excelentes (9-10)
3970654,Excelentes (9-10)
3992145,Excelentes (9-10)
3992649,Excelentes (9-10)
4000081,Excelentes (9-10)
4015522,Notables (7-9)
4026797,Notables (7-9)
4028518,Excelentes (9-10)
4029838,Excelentes (9-10)
4032873,Excelentes (9-10)
4042494,Excelentes (9-10)
4065756,Notables (7-9)
4066844,Excelentes (9-10)
4068098,Excelentes (9-10)
4075560,Notables (7-9)
4079428,Excelentes (9-10)
4079653,Notables (7-9)
4082346,Notables (7-9)
4087574,Excelentes (9-10)
4090679,Notables (7-9)
4097748,Notables (7-9)
4123060,Excelentes (9-10)
4146455,Excelentes (9-10)
4149400,Excelentes (9-10)
4150857,Insuficiente Bajo (0-3)
4161286,Insuficiente Bajo (0-3)
4166058,Notables (7-9)
4178114,Excelentes (9-10)
4186859,Excelentes (9-10)
4187115,Excelentes (9-10)
4187665,Notables (7-9)
4192924,Insuficiente Bajo (0-3)
4202082,Notables (7-9)
4209027,Notables (7-9)
4210151,Excelentes (9-10)
4256038,Notables (7-9)
4256300,Excelentes (9-10)
4299561,Excelentes (9-10)
4309709,Excelentes (9-10)
4322074,Excelentes (9-10)
4323108,Excelentes (9-10)
4327985,Excelentes (9-10)
4332917,Excelentes (9-10)
4340187,Excelentes (9-10)
4344370,Excelentes (9-10)
4344409,Excelentes (9-10)
4351098,Notables (7-9)
4377210,Excelentes (9-10)
4377983,Excelentes (9-10)
4380982,Excelentes (9-10)
4390409,Notables (7-9)
4399271,Excelentes (9-10)
4401797,Insuficiente Bajo (0-3)
4408617,Notables (7-9)
4415780,Notables (7-9)
4425955,Excelentes (9-10)
4437209,Excelentes (9-10)
4440010,Excelentes (9-10)
4444415,Excelentes (9-10)
4456730,Excelentes (9-10)
4466701,Insuficiente Bajo (0-3)
4473361,Excelentes (9-10)
4474561,Notables (7-9)
4478098,Notables (7-9)
4478206,Excelentes (9-10)
4497952,Excelentes (9-10)
4508556,Notables (7-9)
4509281,Notables (7-9)
4516377,Notables (7-9)
4518901,Excelentes (9-10)
4524409,Notables (7-9)
4525021,Excelentes (9-10)
4541878,Excelentes (9-10)
4543135,Excelentes (9-10)
4543700,Excelentes (9-10)
4577798,Excelentes (9-10)
4577996,Excelentes (9-10)
4578116,Excelentes (9-10)
4588053,Insuficiente Bajo (0-3)
4603821,Excelentes (9-10)
4619484,Notables (7-9)
4629577,Excelentes (9-10)
4634674,Excelentes (9-10)
