Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M02;2.551.524
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M01;2.093.794
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M12;1.309.357
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M11;1.311.490
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M10;1.703.330
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M09;2.624.618
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M08;4.125.912
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M07;3.636.198
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M06;2.645.739
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M05;2.223.752
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M04;2.021.339
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M03;1.504.607
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M02;1.311.157
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2025M01;998.142
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M12;1.244.788
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M11;1.294.175
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M10;1.665.690
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M09;2.512.737
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M08;3.985.472
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M07;3.441.439
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M06;2.645.841
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M05;2.253.979
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M04;1.898.961
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M03;1.938.428
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M02;1.373.288
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2024M01;1.017.475
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M12;1.388.925
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M11;1.279.040
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M10;1.817.115
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M09;2.586.139
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M08;4.158.487
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M07;3.610.922
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M06;2.649.406
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M05;1.978.466
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M04;2.140.172
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M03;1.583.785
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M02;1.313.951
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en España;2023M01;1.052.987
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;1.383.688
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;1.834.213
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;3.547.528
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;3.551.655
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;3.460.312
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;3.221.788
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;3.363.599
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;3.384.989
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;2.991.843
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;2.185.349
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;1.576.699
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;1.300.310
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;1.270.713
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;1.773.996
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;3.475.540
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;3.564.274
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;3.386.289
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;3.154.973
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;3.175.795
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;3.401.017
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;2.921.593
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;2.272.792
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;1.625.402
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;1.308.731
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;1.245.964
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;1.660.282
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;3.277.315
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;3.408.937
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;3.268.914
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;2.978.108
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;2.957.511
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;3.110.671
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;2.685.809
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;1.777.406
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;1.237.573
Total Nacional;01 Andalucía;;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;1.040.807
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M12;50.357
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M11;55.620
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M10;115.073
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M09;188.306
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M08;276.757
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M07;238.971
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M06;211.544
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M05;150.162
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M04;114.828
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M03;69.754
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M02;63.827
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2025M01;36.785
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M12;50.632
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M11;48.888
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M10;101.292
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M09;181.652
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M08;247.920
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M07;225.642
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M06;186.678
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M05;146.760
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M04;101.264
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M03;87.953
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M02;62.925
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2024M01;36.786
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M12;48.526
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M11;49.020
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M10;101.190
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M09;178.525
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M08;247.301
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M07;232.234
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M06;181.291
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M05;121.581
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M04;101.502
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M03;64.775
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M02;52.895
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;;2023M01;40.404
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M12;38.528
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M11;42.064
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M10;81.044
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M09;146.143
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M08;230.759
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M07;194.704
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M06;175.501
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M05;117.444
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M04;88.181
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M03;54.452
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M02;51.104
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2025M01;26.043
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M12;37.013
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M11;34.901
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M10;70.109
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M09;138.578
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M08;201.399
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M07;180.572
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M06;150.095
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M05;110.382
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M04;79.097
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M03;69.043
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M02;47.205
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2024M01;25.206
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M12;36.400
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M11;35.432
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M10;72.821
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M09;138.121
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M08;204.593
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M07;190.092
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M06;148.413
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M05;90.751
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M04;80.703
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M03;49.825
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M02;41.385
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en España;2023M01;29.075
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M12;11.829
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M11;13.556
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M10;34.028
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M09;42.163
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M08;45.998
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M07;44.268
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M06;36.043
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M05;32.718
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M04;26.647
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M03;15.302
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M02;12.722
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2025M01;10.742
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M12;13.619
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M11;13.987
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M10;31.183
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M09;43.074
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M08;46.521
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M07;45.070
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M06;36.583
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M05;36.378
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M04;22.167
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M03;18.910
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M02;15.721
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2024M01;11.580
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M12;12.125
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M11;13.589
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M10;28.369
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M09;40.404
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M08;42.708
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M07;42.142
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M06;32.878
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M05;30.830
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M04;20.799
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M03;14.950
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M02;11.510
Total Nacional;01 Andalucía;04 Almería;Viajero;Total;Residentes en el Extranjero;2023M01;11.329
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M12;113.005
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M11;137.136
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M10;319.058
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M09;688.993
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M08;1.025.660
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M07;934.056
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M06;696.228
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M05;487.673
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M04;389.483
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M03;246.639
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M02;186.261
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2025M01;90.711
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M12;120.150
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M11;123.704
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M10;314.938
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M09;661.464
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M08;1.017.773
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M07;878.220
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M06;639.876
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M05;490.801
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M04;344.214
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M03;285.235
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M02;176.663
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2024M01;84.865
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M12;116.387
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M11;113.184
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M10;326.517
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M09;669.547
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M08;1.020.876
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M07;921.502
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M06;616.182
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M05;408.341
Total Nacional;01 Andalucía;04 Almería;Pernoctaciones;Total;;2023M04;287.934
