Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M06;8,48
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M05;8,86
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M04;10,13
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M03;9,4
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M02;9,58
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M01;9,55
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M12;9,64
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M11;8,05
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M10;9,17
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M09;7,95
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M08;9,42
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M07;7,68
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M06;8,03
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M05;8,26
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M04;9,38
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M03;8,84
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M02;9,26
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2024M01;9,06
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M12;9,36
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M11;8,75
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M10;9,19
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M09;7,63
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M08;8,69
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M07;7,42
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M06;7,84
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M05;7,94
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M04;9,01
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M03;8,63
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M02;9
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2023M01;9,11
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M12;2,13
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M11;2,1
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M10;2,02
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M09;2,58
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M08;2,16
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M07;2,59
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M06;2,2
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M05;1,98
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M04;2,04
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M03;2,15
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M02;2,18
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2025M01;2,08
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M12;2,03
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M11;2,04
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M10;1,9
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M09;2,32
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M08;2,09
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M07;2,27
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M06;2,11
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M05;1,74
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M04;1,81
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M03;1,81
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M02;1,92
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2024M01;1,97
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M12;1,91
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M11;1,89
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M10;1,81
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M09;2,4
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M08;2,1
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M07;2,31
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M06;2,1
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M05;1,86
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M04;1,94
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M03;2,02
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M02;2,01
Total Nacional;;Viajero;Total Nacional;11 Extremadura;2023M01;2
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M12;5,59
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M11;5,84
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M10;5,37
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M09;5,07
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M08;4,21
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M07;4,88
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M06;4,83
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M05;5,23
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M04;5,64
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M03;5,89
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M02;5,54
Total Nacional;;Viajero;Total Nacional;12 Galicia;2025M01;5,65
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M12;5,48
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M11;6
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M10;5,47
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M09;5,12
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M08;4,37
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M07;4,69
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M06;4,92
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M05;5,5
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M04;5,35
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M03;5,64
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M02;5,46
Total Nacional;;Viajero;Total Nacional;12 Galicia;2024M01;5,5
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M12;5,35
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M11;5,53
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M10;5,22
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M09;4,95
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M08;4,2
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M07;4,72
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M06;4,71
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M05;5,3
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M04;5,4
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M03;5,53
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M02;5,51
Total Nacional;;Viajero;Total Nacional;12 Galicia;2023M01;5,37
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M12;18,19
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M11;19,02
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M10;18,23
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M09;17,76
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M08;19,31
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M07;19,89
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M06;17,9
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M05;18,94
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M04;18,4
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M03;18,9
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M02;18,76
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2025M01;19,89
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M12;18,8
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M11;21,05
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M10;20,35
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M09;19,47
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M08;20,02
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M07;20,3
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M06;19,98
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M05;20,79
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M04;20,09
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M03;21,14
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M02;20,3
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2024M01;21,2
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M12;20,51
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M11;20,84
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M10;19,66
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M09;19,28
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M08;20,59
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M07;20,32
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M06;20,03
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M05;20,46
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M04;20,71
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M03;22,02
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M02;20,99
Total Nacional;;Viajero;Total Nacional;13 Madrid, Comunidad de;2023M01;20,85
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M12;2,68
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M11;2,78
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M10;2,41
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M09;2,5
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M08;2,87
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M07;2,47
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M06;2,54
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M05;2,3
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M04;2,36
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M03;2,43
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M02;2,6
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2025M01;2,67
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M12;2,7
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M11;2,57
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M10;2,34
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M09;2,38
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M08;2,71
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M07;2,6
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M06;2,35
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M05;2,16
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M04;2,45
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M03;2,33
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M02;2,53
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2024M01;2,64
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M12;2,47
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M11;2,59
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M10;2,32
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M09;2,38
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M08;2,7
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M07;2,35
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M06;2,51
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M05;2,15
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M04;2,1
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M03;2,35
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M02;2,42
Total Nacional;;Viajero;Total Nacional;14 Murcia, Región de;2023M01;2,53
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M12;1,63
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M11;1,45
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M10;1,38
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M09;1,4
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M08;1,27
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M07;1,54
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M06;1,34
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M05;1,41
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M04;1,64
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M03;1,5
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M02;1,3
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2025M01;1,51
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M12;1,44
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M11;1,42
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M10;1,19
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M09;1,31
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M08;1,24
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M07;1,51
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M06;1,39
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M05;1,2
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M04;1,34
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M03;1,37
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M02;1,33
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2024M01;1,29
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M12;1,49
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M11;1,28
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M10;1,25
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M09;1,33
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M08;1,23
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M07;1,49
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M06;1,27
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M05;1,35
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M04;1,41
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M03;1,25
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M02;1,26
Total Nacional;;Viajero;Total Nacional;15 Navarra, Comunidad Foral de;2023M01;1,37
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M12;4,83
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M11;4,63
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M10;4,31
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M09;4,13
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M08;4,7
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M07;4,46
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M06;4,46
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M05;4,62
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M04;5,69
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M03;4,71
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M02;4,28
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2025M01;4,85
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M12;4,69
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M11;4,59
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M10;4,31
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M09;4,14
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M08;4,71
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M07;4,56
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M06;4,56
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M05;4,26
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M04;4,97
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M03;5,03
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M02;4,44
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2024M01;4,63
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M12;4,61
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M11;4,36
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M10;4,42
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M09;4,19
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M08;4,72
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M07;4,54
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M06;4,51
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M05;4,56
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M04;5,56
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M03;4,6
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M02;4,51
Total Nacional;;Viajero;Total Nacional;16 País Vasco;2023M01;4,79
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M12;0,74
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M11;0,7
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M10;0,67
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M09;0,79
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M08;0,66
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M07;0,65
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M06;0,86
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M05;0,67
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M04;0,73
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M03;0,73
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M02;0,72
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2025M01;0,67
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M12;0,68
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M11;0,68
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M10;0,63
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M09;0,83
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M08;0,68
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M07;0,68
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M06;0,77
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M05;0,57
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M04;0,7
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M03;0,69
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M02;0,68
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2024M01;0,68
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M12;0,65
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M11;0,71
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M10;0,66
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M09;0,84
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M08;0,7
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M07;0,67
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M06;0,88
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M05;0,72
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M04;0,66
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M03;0,66
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M02;0,61
Total Nacional;;Viajero;Total Nacional;17 Rioja, La;2023M01;0,62
Total Nacional;;Viajero;Total Nacional;18 Ceuta;2025M12;0,85
Total Nacional;;Viajero;Total Nacional;18 Ceuta;2025M11;0,85
