Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M07;5,13
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M06;5,09
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M05;4,43
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M04;5,07
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M03;4,65
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M02;4,78
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M01;4,77
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M12;4,6
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M11;4,61
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M10;4,82
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M09;5,22
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M08;4,39
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M07;5,23
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M06;4,93
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M05;4,7
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M04;4,6
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M03;5
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M02;4,7
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2023M01;4,69
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M12;3,75
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M11;3,89
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M10;3,55
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M09;3,82
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M08;4,18
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M07;4,45
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M06;4,21
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M05;3,75
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M04;3,56
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M03;3,69
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M02;3,63
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2025M01;3,6
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M12;3,53
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M11;3,66
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M10;3,63
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M09;3,58
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M08;3,8
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M07;4,08
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M06;3,7
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M05;4
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M04;3,42
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M03;3,35
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M02;3,51
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2024M01;3,45
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M12;3,49
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M11;3,66
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M10;3,47
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M09;3,53
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M08;3,71
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M07;4,03
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M06;3,7
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M05;3,37
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M04;3,44
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M03;3,43
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M02;3,35
Total Nacional;;Viajero;Total Nacional;08 Castilla - La Mancha;2023M01;3,48
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M12;15,69
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M11;15,13
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M10;15,95
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M09;15,81
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M08;17,4
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M07;14,84
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M06;16,96
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M05;16,48
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M04;16,42
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M03;15,38
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M02;14,75
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2025M01;15,1
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M12;15,86
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M11;15,23
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M10;16,11
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M09;16,12
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M08;17,82
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M07;15,58
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M06;16,24
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M05;16,74
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M04;15,23
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M03;16,67
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M02;14,89
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2024M01;15,65
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M12;16,63
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M11;15,72
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M10;16,99
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M09;17,12
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M08;18,08
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M07;16,07
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M06;17,31
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M05;16,74
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M04;17,41
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M03;15,42
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M02;14,56
Total Nacional;;Viajero;Total Nacional;09 Cataluña;2023M01;15,5
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M12;10,08
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M11;9,73
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M10;9,93
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M09;8,64
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M08;9,89
Total Nacional;;Viajero;Total Nacional;10 Comunitat Valenciana;2025M07;8,1
