Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M01;32.398
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M12;28.296
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M11;29.952
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M10;43.657
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M09;44.057
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M08;45.390
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M07;45.972
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M06;38.740
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M05;39.661
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M04;39.819
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M03;33.359
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M02;27.476
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2023M01;25.307
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M12;49.949
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M11;50.253
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M10;55.278
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M09;62.099
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M08;84.770
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M07;83.737
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M06;78.662
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M05;60.899
03014 Alacant/Alicante;Pernoctaciones;Residentes en España;2025M04;58.108
