Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M11;83.630
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M10;166.322
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M09;485.307
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M08;827.319
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M07;732.355
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M06;419.902
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M05;261.272
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M04;205.526
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M03;124.044
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M02;69.288
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M01;40.808
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2026M03;17.618
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2026M02;12.765
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2026M01;10.993
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M12;11.829
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M11;13.556
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M10;34.028
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M09;42.163
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M08;45.998
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M07;44.268
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M06;36.043
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M05;32.422
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M04;27.097
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M03;15.302
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M02;12.722
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2025M01;10.742
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M12;13.619
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M11;13.987
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M10;31.183
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M09;43.074
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M08;46.521
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M07;45.070
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M06;36.583
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M05;36.378
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M04;22.167
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M03;18.910
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M02;15.721
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2024M01;11.580
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M12;12.125
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M11;13.589
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M10;28.369
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M09;40.404
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M08;42.708
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M07;42.142
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M06;32.878
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M05;30.830
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M04;20.799
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M03;14.950
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M02;11.510
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2023M01;11.329
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M12;10.226
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M11;12.693
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M10;26.150
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M09;34.974
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M08;41.392
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M07;39.566
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M06;32.084
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M05;28.431
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M04;19.025
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M03;13.274
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M02;10.284
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Viajero;2022M01;9.007
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2026M03;68.396
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2026M02;41.089
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2026M01;32.496
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M12;32.182
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M11;52.324
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M10;134.377
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M09;191.440
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M08;217.357
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M07;192.732
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M06;174.567
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M05;125.763
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M04;109.105
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;55.623
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;43.370
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;33.435
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;34.300
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;46.974
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;139.974
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;198.238
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;216.966
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;185.318
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;175.842
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;137.445
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;68.364
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;63.516
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;49.288
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;32.817
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;32.646
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;42.819
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;143.029
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;199.181
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;203.358
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;187.415
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;161.835
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;132.818
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;70.071
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;54.195
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;41.627
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;33.166
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;31.548
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;46.391
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;130.192
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;171.135
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;203.902
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;169.646
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;159.526
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;110.734
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;59.012
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;44.210
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;34.320
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;25.143
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2026M03;109.663
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2026M02;93.925
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2026M01;70.367
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M12;96.936
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M11;101.636
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M10;160.796
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M09;203.871
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M08;294.193
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M07;279.008
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M06;243.945
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M05;202.150
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M04;165.206
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M03;97.945
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M02;87.079
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2025M01;70.464
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M12;88.202
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M11;92.673
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M10;139.559
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M09;199.561
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M08;275.541
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M07;254.466
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M06;229.042
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M05;216.913
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M04;154.722
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M03;122.697
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M02;93.369
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2024M01;63.932
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M12;95.172
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M11;88.979
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M10;157.904
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M09;203.287
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M08;301.961
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M07;291.087
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M06;233.204
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M05;179.120
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M04;188.633
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M03;103.293
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M02;92.992
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2023M01;64.806
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M12;81.711
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M11;87.654
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M10;139.809
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M09;210.507
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M08;287.126
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M07;289.088
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M06;232.757
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M05;197.200
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M04;163.824
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M03;85.986
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M02;80.010
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Viajero;2022M01;49.164
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2026M03;221.899
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2026M02;195.484
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2026M01;149.035
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M12;191.686
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M11;211.342
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M10;366.178
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M09;611.358
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M08;1.078.753
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M07;949.021
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M06;641.944
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M05;491.618
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M04;388.410
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M03;204.064
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M02;164.808
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2025M01;146.569
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2024M12;170.875
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2024M11;197.902
Total Nacional;01 Andalucía;11 Cádiz;Total;Residentes en España;Pernoctaciones;2024M10;339.552
