Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;29 Málaga;2024M05;3,42
Total Nacional;01 Andalucía;29 Málaga;2024M04;3,23
Total Nacional;01 Andalucía;29 Málaga;2024M03;3,38
Total Nacional;01 Andalucía;29 Málaga;2024M02;3,13
Total Nacional;01 Andalucía;29 Málaga;2024M01;2,92
Total Nacional;01 Andalucía;29 Málaga;2023M12;2,95
Total Nacional;01 Andalucía;29 Málaga;2023M11;3,19
Total Nacional;01 Andalucía;29 Málaga;2023M10;3,51
Total Nacional;01 Andalucía;29 Málaga;2023M09;3,62
Total Nacional;01 Andalucía;29 Málaga;2023M08;3,90
Total Nacional;01 Andalucía;29 Málaga;2023M07;3,73
Total Nacional;01 Andalucía;29 Málaga;2023M06;3,59
Total Nacional;01 Andalucía;29 Málaga;2023M05;3,44
Total Nacional;01 Andalucía;29 Málaga;2023M04;3,27
Total Nacional;01 Andalucía;29 Málaga;2023M03;2,95
Total Nacional;01 Andalucía;29 Málaga;2023M02;2,96
Total Nacional;01 Andalucía;29 Málaga;2023M01;2,87
Total Nacional;01 Andalucía;29 Málaga;2022M12;2,74
Total Nacional;01 Andalucía;29 Málaga;2022M11;3,13
Total Nacional;01 Andalucía;29 Málaga;2022M10;3,55
Total Nacional;01 Andalucía;29 Málaga;2022M09;3,48
Total Nacional;01 Andalucía;29 Málaga;2022M08;4,02
Total Nacional;01 Andalucía;29 Málaga;2022M07;3,69
Total Nacional;01 Andalucía;29 Málaga;2022M06;3,54
Total Nacional;01 Andalucía;29 Málaga;2022M05;3,43
Total Nacional;01 Andalucía;29 Málaga;2022M04;3,35
Total Nacional;01 Andalucía;29 Málaga;2022M03;3,20
Total Nacional;01 Andalucía;29 Málaga;2022M02;2,72
Total Nacional;01 Andalucía;29 Málaga;2022M01;2,69
Total Nacional;01 Andalucía;41 Sevilla;2026M03;2,20
Total Nacional;01 Andalucía;41 Sevilla;2026M02;2,05
Total Nacional;01 Andalucía;41 Sevilla;2026M01;2,10
Total Nacional;01 Andalucía;41 Sevilla;2025M12;2,05
Total Nacional;01 Andalucía;41 Sevilla;2025M11;2,08
Total Nacional;01 Andalucía;41 Sevilla;2025M10;2,06
Total Nacional;01 Andalucía;41 Sevilla;2025M09;1,99
Total Nacional;01 Andalucía;41 Sevilla;2025M08;2,05
Total Nacional;01 Andalucía;41 Sevilla;2025M07;1,99
Total Nacional;01 Andalucía;41 Sevilla;2025M06;2,01
Total Nacional;01 Andalucía;41 Sevilla;2025M05;2,09
Total Nacional;01 Andalucía;41 Sevilla;2025M04;2,12
Total Nacional;01 Andalucía;41 Sevilla;2025M03;2,14
Total Nacional;01 Andalucía;41 Sevilla;2025M02;2,03
Total Nacional;01 Andalucía;41 Sevilla;2025M01;1,95
Total Nacional;01 Andalucía;41 Sevilla;2024M12;2,00
Total Nacional;01 Andalucía;41 Sevilla;2024M11;2,05
Total Nacional;01 Andalucía;41 Sevilla;2024M10;2,06
Total Nacional;01 Andalucía;41 Sevilla;2024M09;2,02
Total Nacional;01 Andalucía;41 Sevilla;2024M08;2,05
Total Nacional;01 Andalucía;41 Sevilla;2024M07;1,98
Total Nacional;01 Andalucía;41 Sevilla;2024M06;1,96
Total Nacional;01 Andalucía;41 Sevilla;2024M05;2,02
Total Nacional;01 Andalucía;41 Sevilla;2024M04;2,03
Total Nacional;01 Andalucía;41 Sevilla;2024M03;2,09
Total Nacional;01 Andalucía;41 Sevilla;2024M02;2,00
Total Nacional;01 Andalucía;41 Sevilla;2024M01;1,98
Total Nacional;01 Andalucía;41 Sevilla;2023M12;2,01
Total Nacional;01 Andalucía;41 Sevilla;2023M11;2,02
Total Nacional;01 Andalucía;41 Sevilla;2023M10;1,98
Total Nacional;01 Andalucía;41 Sevilla;2023M09;1,98
Total Nacional;01 Andalucía;41 Sevilla;2023M08;1,99
Total Nacional;01 Andalucía;41 Sevilla;2023M07;1,87
Total Nacional;01 Andalucía;41 Sevilla;2023M06;1,90
Total Nacional;01 Andalucía;41 Sevilla;2023M05;1,96
Total Nacional;01 Andalucía;41 Sevilla;2023M04;2,07
Total Nacional;01 Andalucía;41 Sevilla;2023M03;2,04
Total Nacional;01 Andalucía;41 Sevilla;2023M02;1,96
Total Nacional;01 Andalucía;41 Sevilla;2023M01;1,97
Total Nacional;01 Andalucía;41 Sevilla;2022M12;1,99
Total Nacional;01 Andalucía;41 Sevilla;2022M11;2,06
Total Nacional;01 Andalucía;41 Sevilla;2022M10;2,01
Total Nacional;01 Andalucía;41 Sevilla;2022M09;1,96
Total Nacional;01 Andalucía;41 Sevilla;2022M08;2,00
