Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,Huelva,2023M11,2.34,Huelva,2023-11-01
Andalucía,Huelva,2023M10,3.15,Huelva,2023-10-01
Andalucía,Huelva,2023M09,3.92,Huelva,2023-09-01
Andalucía,Huelva,2023M08,4.08,Huelva,2023-08-01
Andalucía,Huelva,2023M07,3.75,Huelva,2023-07-01
Andalucía,Huelva,2023M06,3.48,Huelva,2023-06-01
Andalucía,Huelva,2023M05,3.03,Huelva,2023-05-01
Andalucía,Huelva,2023M04,3.21,Huelva,2023-04-01
Andalucía,Huelva,2023M03,2.53,Huelva,2023-03-01
Andalucía,Huelva,2023M02,2.17,Huelva,2023-02-01
Andalucía,Huelva,2023M01,1.98,Huelva,2023-01-01
Andalucía,Huelva,2022M12,2.21,Huelva,2022-12-01
Andalucía,Huelva,2022M11,2.29,Huelva,2022-11-01
Andalucía,Huelva,2022M10,3.01,Huelva,2022-10-01
Andalucía,Huelva,2022M09,3.64,Huelva,2022-09-01
Andalucía,Huelva,2022M08,4.44,Huelva,2022-08-01
Andalucía,Huelva,2022M07,3.84,Huelva,2022-07-01
Andalucía,Huelva,2022M06,3.34,Huelva,2022-06-01
Andalucía,Huelva,2022M05,3.19,Huelva,2022-05-01
Andalucía,Huelva,2022M04,3.24,Huelva,2022-04-01
Andalucía,Huelva,2022M03,2.91,Huelva,2022-03-01
Andalucía,Huelva,2022M02,2.12,Huelva,2022-02-01
Andalucía,Huelva,2022M01,2.02,Huelva,2022-01-01
Andalucía,Jaén,2026M03,1.73,Jaén,2026-03-01
Andalucía,Jaén,2026M02,1.74,Jaén,2026-02-01
Andalucía,Jaén,2026M01,1.82,Jaén,2026-01-01
Andalucía,Jaén,2025M12,1.72,Jaén,2025-12-01
Andalucía,Jaén,2025M11,1.81,Jaén,2025-11-01
Andalucía,Jaén,2025M10,1.75,Jaén,2025-10-01
Andalucía,Jaén,2025M09,1.74,Jaén,2025-09-01
Andalucía,Jaén,2025M08,1.95,Jaén,2025-08-01
Andalucía,Jaén,2025M07,1.79,Jaén,2025-07-01
Andalucía,Jaén,2025M06,1.76,Jaén,2025-06-01
Andalucía,Jaén,2025M05,1.77,Jaén,2025-05-01
Andalucía,Jaén,2025M04,1.89,Jaén,2025-04-01
Andalucía,Jaén,2025M03,1.84,Jaén,2025-03-01
Andalucía,Jaén,2025M02,1.72,Jaén,2025-02-01
Andalucía,Jaén,2025M01,1.75,Jaén,2025-01-01
Andalucía,Jaén,2024M12,1.78,Jaén,2024-12-01
Andalucía,Jaén,2024M11,1.84,Jaén,2024-11-01
Andalucía,Jaén,2024M10,1.71,Jaén,2024-10-01
Andalucía,Jaén,2024M09,1.78,Jaén,2024-09-01
Andalucía,Jaén,2024M08,1.9,Jaén,2024-08-01
Andalucía,Jaén,2024M07,1.88,Jaén,2024-07-01
Andalucía,Jaén,2024M06,1.8,Jaén,2024-06-01
Andalucía,Jaén,2024M05,1.76,Jaén,2024-05-01
Andalucía,Jaén,2024M04,1.74,Jaén,2024-04-01
Andalucía,Jaén,2024M03,1.86,Jaén,2024-03-01
Andalucía,Jaén,2024M02,1.73,Jaén,2024-02-01
Andalucía,Jaén,2024M01,1.76,Jaén,2024-01-01
Andalucía,Jaén,2023M12,1.76,Jaén,2023-12-01
Andalucía,Jaén,2023M11,1.86,Jaén,2023-11-01
Andalucía,Jaén,2023M10,1.82,Jaén,2023-10-01
Andalucía,Jaén,2023M09,1.8,Jaén,2023-09-01
Andalucía,Jaén,2023M08,2.03,Jaén,2023-08-01
Andalucía,Jaén,2023M07,1.91,Jaén,2023-07-01
Andalucía,Jaén,2023M06,1.77,Jaén,2023-06-01
Andalucía,Jaén,2023M05,1.82,Jaén,2023-05-01
Andalucía,Jaén,2023M04,1.93,Jaén,2023-04-01
Andalucía,Jaén,2023M03,1.8,Jaén,2023-03-01
Andalucía,Jaén,2023M02,1.78,Jaén,2023-02-01
Andalucía,Jaén,2023M01,1.78,Jaén,2023-01-01
Andalucía,Jaén,2022M12,1.8,Jaén,2022-12-01
Andalucía,Jaén,2022M11,1.84,Jaén,2022-11-01
Andalucía,Jaén,2022M10,1.84,Jaén,2022-10-01
Andalucía,Jaén,2022M09,1.78,Jaén,2022-09-01
Andalucía,Jaén,2022M08,2.07,Jaén,2022-08-01
Andalucía,Jaén,2022M07,1.81,Jaén,2022-07-01
Andalucía,Jaén,2022M06,1.79,Jaén,2022-06-01
Andalucía,Jaén,2022M05,1.84,Jaén,2022-05-01
Andalucía,Jaén,2022M04,1.89,Jaén,2022-04-01
Andalucía,Jaén,2022M03,1.85,Jaén,2022-03-01
Andalucía,Jaén,2022M02,1.8,Jaén,2022-02-01
Andalucía,Jaén,2022M01,1.66,Jaén,2022-01-01
Andalucía,Málaga,2026M03,3.25,Málaga,2026-03-01
Andalucía,Málaga,2026M02,3.32,Málaga,2026-02-01
Andalucía,Málaga,2026M01,3.34,Málaga,2026-01-01
Andalucía,Málaga,2025M12,2.92,Málaga,2025-12-01
Andalucía,Málaga,2025M11,3.14,Málaga,2025-11-01
Andalucía,Málaga,2025M10,3.66,Málaga,2025-10-01
Andalucía,Málaga,2025M09,3.65,Málaga,2025-09-01
Andalucía,Málaga,2025M08,3.97,Málaga,2025-08-01
Andalucía,Málaga,2025M07,3.86,Málaga,2025-07-01
Andalucía,Málaga,2025M06,3.74,Málaga,2025-06-01
Andalucía,Málaga,2025M05,3.41,Málaga,2025-05-01
Andalucía,Málaga,2025M04,3.39,Málaga,2025-04-01
Andalucía,Málaga,2025M03,3.36,Málaga,2025-03-01
Andalucía,Málaga,2025M02,3.21,Málaga,2025-02-01
Andalucía,Málaga,2025M01,3.13,Málaga,2025-01-01
Andalucía,Málaga,2024M12,3.06,Málaga,2024-12-01
Andalucía,Málaga,2024M11,3.2,Málaga,2024-11-01
Andalucía,Málaga,2024M10,3.63,Málaga,2024-10-01
Andalucía,Málaga,2024M09,3.8,Málaga,2024-09-01
Andalucía,Málaga,2024M08,3.96,Málaga,2024-08-01
Andalucía,Málaga,2024M07,3.82,Málaga,2024-07-01
