RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;República Checa;Viajero;2024M01;12.552
Total;República Checa;Viajero;2023M12;13.418
Total;República Checa;Viajero;2023M11;20.033
Total;República Checa;Viajero;2023M10;35.884
Total;República Checa;Viajero;2023M09;48.620
Total;República Checa;Viajero;2023M08;45.589
Total;República Checa;Viajero;2023M07;52.972
Total;República Checa;Viajero;2023M06;43.253
Total;República Checa;Viajero;2023M05;41.073
Total;República Checa;Viajero;2023M04;32.098
Total;República Checa;Viajero;2023M03;20.177
Total;República Checa;Viajero;2023M02;15.854
Total;República Checa;Viajero;2023M01;11.655
Total;República Checa;Viajero;2022M12;11.432
Total;República Checa;Viajero;2022M11;17.261
Total;República Checa;Viajero;2022M10;34.613
Total;República Checa;Viajero;2022M09;45.378
Total;República Checa;Viajero;2022M08;37.296
Total;República Checa;Viajero;2022M07;46.140
Total;República Checa;Viajero;2022M06;35.584
Total;República Checa;Viajero;2022M05;30.983
Total;República Checa;Viajero;2022M04;24.940
Total;República Checa;Viajero;2022M03;18.604
Total;República Checa;Viajero;2022M02;12.772
Total;República Checa;Viajero;2022M01;8.943
Total;República Checa;Pernoctaciones;2026M03;92.416
Total;República Checa;Pernoctaciones;2026M02;73.187
Total;República Checa;Pernoctaciones;2026M01;53.412
Total;República Checa;Pernoctaciones;2025M12;69.383
Total;República Checa;Pernoctaciones;2025M11;77.449
Total;República Checa;Pernoctaciones;2025M10;185.232
Total;República Checa;Pernoctaciones;2025M09;276.967
Total;República Checa;Pernoctaciones;2025M08;261.735
Total;República Checa;Pernoctaciones;2025M07;293.166
Total;República Checa;Pernoctaciones;2025M06;258.325
Total;República Checa;Pernoctaciones;2025M05;161.933
Total;República Checa;Pernoctaciones;2025M04;87.618
Total;República Checa;Pernoctaciones;2025M03;102.096
Total;República Checa;Pernoctaciones;2025M02;74.283
Total;República Checa;Pernoctaciones;2025M01;49.467
Total;República Checa;Pernoctaciones;2024M12;53.328
Total;República Checa;Pernoctaciones;2024M11;67.874
Total;República Checa;Pernoctaciones;2024M10;169.577
Total;República Checa;Pernoctaciones;2024M09;249.027
Total;República Checa;Pernoctaciones;2024M08;226.512
Total;República Checa;Pernoctaciones;2024M07;284.236
Total;República Checa;Pernoctaciones;2024M06;246.586
Total;República Checa;Pernoctaciones;2024M05;143.096
Total;República Checa;Pernoctaciones;2024M04;103.079
Total;República Checa;Pernoctaciones;2024M03;91.955
Total;República Checa;Pernoctaciones;2024M02;80.508
Total;República Checa;Pernoctaciones;2024M01;45.007
Total;República Checa;Pernoctaciones;2023M12;49.777
Total;República Checa;Pernoctaciones;2023M11;75.003
Total;República Checa;Pernoctaciones;2023M10;148.694
Total;República Checa;Pernoctaciones;2023M09;234.488
Total;República Checa;Pernoctaciones;2023M08;233.771
Total;República Checa;Pernoctaciones;2023M07;285.777
Total;República Checa;Pernoctaciones;2023M06;210.186
Total;República Checa;Pernoctaciones;2023M05;155.442
Total;República Checa;Pernoctaciones;2023M04;115.556
Total;República Checa;Pernoctaciones;2023M03;78.385
Total;República Checa;Pernoctaciones;2023M02;60.120
Total;República Checa;Pernoctaciones;2023M01;41.228
Total;República Checa;Pernoctaciones;2022M12;44.645
Total;República Checa;Pernoctaciones;2022M11;59.534
Total;República Checa;Pernoctaciones;2022M10;173.943
Total;República Checa;Pernoctaciones;2022M09;200.996
Total;República Checa;Pernoctaciones;2022M08;191.819
Total;República Checa;Pernoctaciones;2022M07;246.901
Total;República Checa;Pernoctaciones;2022M06;163.427
Total;República Checa;Pernoctaciones;2022M05;115.116
Total;República Checa;Pernoctaciones;2022M04;88.635
Total;República Checa;Pernoctaciones;2022M03;70.345
Total;República Checa;Pernoctaciones;2022M02;48.031
Total;República Checa;Pernoctaciones;2022M01;35.681
Total;Suecia;Viajero;2026M03;71.320
Total;Suecia;Viajero;2026M02;56.395
Total;Suecia;Viajero;2026M01;55.980
Total;Suecia;Viajero;2025M12;51.899
Total;Suecia;Viajero;2025M11;67.788
Total;Suecia;Viajero;2025M10;98.711
Total;Suecia;Viajero;2025M09;83.737
Total;Suecia;Viajero;2025M08;63.894
Total;Suecia;Viajero;2025M07;94.437
Total;Suecia;Viajero;2025M06;82.559
Total;Suecia;Viajero;2025M05;78.538
Total;Suecia;Viajero;2025M04;69.848
Total;Suecia;Viajero;2025M03;64.351
Total;Suecia;Viajero;2025M02;57.136
Total;Suecia;Viajero;2025M01;53.885
Total;Suecia;Viajero;2024M12;54.564
Total;Suecia;Viajero;2024M11;70.750
Total;Suecia;Viajero;2024M10;94.802
Total;Suecia;Viajero;2024M09;70.856
Total;Suecia;Viajero;2024M08;63.077
Total;Suecia;Viajero;2024M07;89.840
Total;Suecia;Viajero;2024M06;77.030
Total;Suecia;Viajero;2024M05;76.343
Total;Suecia;Viajero;2024M04;71.704
Total;Suecia;Viajero;2024M03;73.995
Total;Suecia;Viajero;2024M02;60.098
Total;Suecia;Viajero;2024M01;61.269
Total;Suecia;Viajero;2023M12;55.338
Total;Suecia;Viajero;2023M11;74.144
Total;Suecia;Viajero;2023M10;91.634
Total;Suecia;Viajero;2023M09;77.154
Total;Suecia;Viajero;2023M08;62.714
Total;Suecia;Viajero;2023M07;85.223
Total;Suecia;Viajero;2023M06;71.439
Total;Suecia;Viajero;2023M05;70.640
Total;Suecia;Viajero;2023M04;71.199
Total;Suecia;Viajero;2023M03;71.971
Total;Suecia;Viajero;2023M02;56.607
Total;Suecia;Viajero;2023M01;61.837
Total;Suecia;Viajero;2022M12;56.090
Total;Suecia;Viajero;2022M11;71.640
Total;Suecia;Viajero;2022M10;82.346
Total;Suecia;Viajero;2022M09;76.613
Total;Suecia;Viajero;2022M08;62.114
Total;Suecia;Viajero;2022M07;86.411
Total;Suecia;Viajero;2022M06;71.124
Total;Suecia;Viajero;2022M05;74.242
Total;Suecia;Viajero;2022M04;63.726
Total;Suecia;Viajero;2022M03;52.984
Total;Suecia;Viajero;2022M02;39.450
Total;Suecia;Viajero;2022M01;37.152
Total;Suecia;Pernoctaciones;2026M03;370.559
Total;Suecia;Pernoctaciones;2026M02;300.109
Total;Suecia;Pernoctaciones;2026M01;312.784
Total;Suecia;Pernoctaciones;2025M12;294.940
Total;Suecia;Pernoctaciones;2025M11;362.786
Total;Suecia;Pernoctaciones;2025M10;433.716
Total;Suecia;Pernoctaciones;2025M09;350.188
Total;Suecia;Pernoctaciones;2025M08;289.267
Total;Suecia;Pernoctaciones;2025M07;411.101
Total;Suecia;Pernoctaciones;2025M06;379.838
Total;Suecia;Pernoctaciones;2025M05;320.375
Total;Suecia;Pernoctaciones;2025M04;310.083
Total;Suecia;Pernoctaciones;2025M03;335.669
Total;Suecia;Pernoctaciones;2025M02;312.934
Total;Suecia;Pernoctaciones;2025M01;293.487
Total;Suecia;Pernoctaciones;2024M12;318.886
Total;Suecia;Pernoctaciones;2024M11;389.653
Total;Suecia;Pernoctaciones;2024M10;429.052
Total;Suecia;Pernoctaciones;2024M09;289.411
Total;Suecia;Pernoctaciones;2024M08;292.734
Total;Suecia;Pernoctaciones;2024M07;388.025
Total;Suecia;Pernoctaciones;2024M06;336.816
Total;Suecia;Pernoctaciones;2024M05;313.346
Total;Suecia;Pernoctaciones;2024M04;319.171
Total;Suecia;Pernoctaciones;2024M03;386.929
Total;Suecia;Pernoctaciones;2024M02;331.212
Total;Suecia;Pernoctaciones;2024M01;348.892
Total;Suecia;Pernoctaciones;2023M12;323.683
Total;Suecia;Pernoctaciones;2023M11;426.545
Total;Suecia;Pernoctaciones;2023M10;378.622
Total;Suecia;Pernoctaciones;2023M09;315.575
Total;Suecia;Pernoctaciones;2023M08;289.605
Total;Suecia;Pernoctaciones;2023M07;366.800
Total;Suecia;Pernoctaciones;2023M06;299.690
Total;Suecia;Pernoctaciones;2023M05;300.940
Total;Suecia;Pernoctaciones;2023M04;323.088
Total;Suecia;Pernoctaciones;2023M03;371.908
Total;Suecia;Pernoctaciones;2023M02;311.636
Total;Suecia;Pernoctaciones;2023M01;356.138
Total;Suecia;Pernoctaciones;2022M12;324.140
Total;Suecia;Pernoctaciones;2022M11;419.091
Total;Suecia;Pernoctaciones;2022M10;331.756
Total;Suecia;Pernoctaciones;2022M09;306.360
Total;Suecia;Pernoctaciones;2022M08;275.004
Total;Suecia;Pernoctaciones;2022M07;363.110
Total;Suecia;Pernoctaciones;2022M06;293.062
Total;Suecia;Pernoctaciones;2022M05;286.849
Total;Suecia;Pernoctaciones;2022M04;289.229
Total;Suecia;Pernoctaciones;2022M03;273.550
Total;Suecia;Pernoctaciones;2022M02;199.711
Total;Suecia;Pernoctaciones;2022M01;240.746
Total;Resto de la U.E.;Viajero;2026M03;146.813
Total;Resto de la U.E.;Viajero;2026M02;113.802
Total;Resto de la U.E.;Viajero;2026M01;101.234
Total;Resto de la U.E.;Viajero;2025M12;101.432
Total;Resto de la U.E.;Viajero;2025M11;126.018
Total;Resto de la U.E.;Viajero;2025M10;185.494
Total;Resto de la U.E.;Viajero;2025M09;193.112
Total;Resto de la U.E.;Viajero;2025M08;228.899
Total;Resto de la U.E.;Viajero;2025M07;206.273
Total;Resto de la U.E.;Viajero;2025M06;185.938
Total;Resto de la U.E.;Viajero;2025M05;175.840
Total;Resto de la U.E.;Viajero;2025M04;157.545
Total;Resto de la U.E.;Viajero;2025M03;132.044
Total;Resto de la U.E.;Viajero;2025M02;108.315
Total;Resto de la U.E.;Viajero;2025M01;89.494
Total;Resto de la U.E.;Viajero;2024M12;89.661
Total;Resto de la U.E.;Viajero;2024M11;105.311
Total;Resto de la U.E.;Viajero;2024M10;175.192
Total;Resto de la U.E.;Viajero;2024M09;185.119
Total;Resto de la U.E.;Viajero;2024M08;210.139
Total;Resto de la U.E.;Viajero;2024M07;196.822
Total;Resto de la U.E.;Viajero;2024M06;186.974
Total;Resto de la U.E.;Viajero;2024M05;181.732
Total;Resto de la U.E.;Viajero;2024M04;160.365
Total;Resto de la U.E.;Viajero;2024M03;132.228
Total;Resto de la U.E.;Viajero;2024M02;100.351
Total;Resto de la U.E.;Viajero;2024M01;88.373
Total;Resto de la U.E.;Viajero;2023M12;90.674
Total;Resto de la U.E.;Viajero;2023M11;107.369
Total;Resto de la U.E.;Viajero;2023M10;158.421
Total;Resto de la U.E.;Viajero;2023M09;170.612
Total;Resto de la U.E.;Viajero;2023M08;187.364
Total;Resto de la U.E.;Viajero;2023M07;188.440
Total;Resto de la U.E.;Viajero;2023M06;168.686
Total;Resto de la U.E.;Viajero;2023M05;153.557
Total;Resto de la U.E.;Viajero;2023M04;152.254
Total;Resto de la U.E.;Viajero;2023M03;111.632
Total;Resto de la U.E.;Viajero;2023M02;90.488
Total;Resto de la U.E.;Viajero;2023M01;83.204
Total;Resto de la U.E.;Viajero;2022M12;78.208
Total;Resto de la U.E.;Viajero;2022M11;89.332
Total;Resto de la U.E.;Viajero;2022M10;135.432
Total;Resto de la U.E.;Viajero;2022M09;146.222
Total;Resto de la U.E.;Viajero;2022M08;159.498
Total;Resto de la U.E.;Viajero;2022M07;165.921
Total;Resto de la U.E.;Viajero;2022M06;153.453
Total;Resto de la U.E.;Viajero;2022M05;128.803
Total;Resto de la U.E.;Viajero;2022M04;130.262
Total;Resto de la U.E.;Viajero;2022M03;87.395
Total;Resto de la U.E.;Viajero;2022M02;71.293
Total;Resto de la U.E.;Viajero;2022M01;54.314
Total;Resto de la U.E.;Pernoctaciones;2026M03;430.098
Total;Resto de la U.E.;Pernoctaciones;2026M02;352.122
Total;Resto de la U.E.;Pernoctaciones;2026M01;328.484
Total;Resto de la U.E.;Pernoctaciones;2025M12;297.561
Total;Resto de la U.E.;Pernoctaciones;2025M11;372.308
Total;Resto de la U.E.;Pernoctaciones;2025M10;596.798
Total;Resto de la U.E.;Pernoctaciones;2025M09;756.716
Total;Resto de la U.E.;Pernoctaciones;2025M08;926.698
Total;Resto de la U.E.;Pernoctaciones;2025M07;857.969
Total;Resto de la U.E.;Pernoctaciones;2025M06;711.821
Total;Resto de la U.E.;Pernoctaciones;2025M05;557.219
Total;Resto de la U.E.;Pernoctaciones;2025M04;490.788
Total;Resto de la U.E.;Pernoctaciones;2025M03;380.826
Total;Resto de la U.E.;Pernoctaciones;2025M02;319.243
Total;Resto de la U.E.;Pernoctaciones;2025M01;294.245
Total;Resto de la U.E.;Pernoctaciones;2024M12;272.833
Total;Resto de la U.E.;Pernoctaciones;2024M11;314.682
Total;Resto de la U.E.;Pernoctaciones;2024M10;589.881
Total;Resto de la U.E.;Pernoctaciones;2024M09;728.955
Total;Resto de la U.E.;Pernoctaciones;2024M08;841.897
Total;Resto de la U.E.;Pernoctaciones;2024M07;813.305
Total;Resto de la U.E.;Pernoctaciones;2024M06;694.329
Total;Resto de la U.E.;Pernoctaciones;2024M05;604.591
Total;Resto de la U.E.;Pernoctaciones;2024M04;497.421
Total;Resto de la U.E.;Pernoctaciones;2024M03;411.370
Total;Resto de la U.E.;Pernoctaciones;2024M02;312.767
Total;Resto de la U.E.;Pernoctaciones;2024M01;285.628
Total;Resto de la U.E.;Pernoctaciones;2023M12;283.932
Total;Resto de la U.E.;Pernoctaciones;2023M11;334.242
Total;Resto de la U.E.;Pernoctaciones;2023M10;535.331
Total;Resto de la U.E.;Pernoctaciones;2023M09;654.456
Total;Resto de la U.E.;Pernoctaciones;2023M08;755.455
Total;Resto de la U.E.;Pernoctaciones;2023M07;761.736
Total;Resto de la U.E.;Pernoctaciones;2023M06;621.157
Total;Resto de la U.E.;Pernoctaciones;2023M05;498.610
Total;Resto de la U.E.;Pernoctaciones;2023M04;478.929
Total;Resto de la U.E.;Pernoctaciones;2023M03;338.639
Total;Resto de la U.E.;Pernoctaciones;2023M02;287.692
Total;Resto de la U.E.;Pernoctaciones;2023M01;271.388
Total;Resto de la U.E.;Pernoctaciones;2022M12;245.194
Total;Resto de la U.E.;Pernoctaciones;2022M11;273.385
Total;Resto de la U.E.;Pernoctaciones;2022M10;431.750
Total;Resto de la U.E.;Pernoctaciones;2022M09;527.439
Total;Resto de la U.E.;Pernoctaciones;2022M08;638.444
Total;Resto de la U.E.;Pernoctaciones;2022M07;657.433
Total;Resto de la U.E.;Pernoctaciones;2022M06;533.849
Total;Resto de la U.E.;Pernoctaciones;2022M05;403.854
Total;Resto de la U.E.;Pernoctaciones;2022M04;397.777
Total;Resto de la U.E.;Pernoctaciones;2022M03;275.552
Total;Resto de la U.E.;Pernoctaciones;2022M02;226.440
Total;Resto de la U.E.;Pernoctaciones;2022M01;175.868
Total;Noruega;Viajero;2026M03;50.626
Total;Noruega;Viajero;2026M02;45.839
Total;Noruega;Viajero;2026M01;38.547
Total;Noruega;Viajero;2025M12;30.870
Total;Noruega;Viajero;2025M11;42.289
Total;Noruega;Viajero;2025M10;63.831
Total;Noruega;Viajero;2025M09;55.523
Total;Noruega;Viajero;2025M08;38.804
Total;Noruega;Viajero;2025M07;77.444
Total;Noruega;Viajero;2025M06;55.529
Total;Noruega;Viajero;2025M05;47.388
Total;Noruega;Viajero;2025M04;46.853
Total;Noruega;Viajero;2025M03;43.951
Total;Noruega;Viajero;2025M02;43.380
Total;Noruega;Viajero;2025M01;36.306
Total;Noruega;Viajero;2024M12;31.965
Total;Noruega;Viajero;2024M11;43.217
Total;Noruega;Viajero;2024M10;66.360
Total;Noruega;Viajero;2024M09;52.748
Total;Noruega;Viajero;2024M08;33.623
Total;Noruega;Viajero;2024M07;71.165
Total;Noruega;Viajero;2024M06;48.793
Total;Noruega;Viajero;2024M05;46.066
Total;Noruega;Viajero;2024M04;44.259
Total;Noruega;Viajero;2024M03;53.490
Total;Noruega;Viajero;2024M02;44.226
Total;Noruega;Viajero;2024M01;39.149
Total;Noruega;Viajero;2023M12;30.854
Total;Noruega;Viajero;2023M11;42.618
Total;Noruega;Viajero;2023M10;62.029
Total;Noruega;Viajero;2023M09;55.502
Total;Noruega;Viajero;2023M08;37.768
Total;Noruega;Viajero;2023M07;72.823
Total;Noruega;Viajero;2023M06;49.107
Total;Noruega;Viajero;2023M05;46.367
Total;Noruega;Viajero;2023M04;49.732
Total;Noruega;Viajero;2023M03;48.443
Total;Noruega;Viajero;2023M02;40.567
Total;Noruega;Viajero;2023M01;35.622
Total;Noruega;Viajero;2022M12;31.771
Total;Noruega;Viajero;2022M11;46.624
Total;Noruega;Viajero;2022M10;67.438
Total;Noruega;Viajero;2022M09;56.915
Total;Noruega;Viajero;2022M08;42.360
Total;Noruega;Viajero;2022M07;88.758
Total;Noruega;Viajero;2022M06;54.021
Total;Noruega;Viajero;2022M05;48.649
Total;Noruega;Viajero;2022M04;44.998
Total;Noruega;Viajero;2022M03;35.781
Total;Noruega;Viajero;2022M02;25.846
Total;Noruega;Viajero;2022M01;18.392
Total;Noruega;Pernoctaciones;2026M03;306.698
Total;Noruega;Pernoctaciones;2026M02;317.961
Total;Noruega;Pernoctaciones;2026M01;236.176
Total;Noruega;Pernoctaciones;2025M12;193.058
Total;Noruega;Pernoctaciones;2025M11;270.262
Total;Noruega;Pernoctaciones;2025M10;333.632
Total;Noruega;Pernoctaciones;2025M09;230.037
Total;Noruega;Pernoctaciones;2025M08;197.140
Total;Noruega;Pernoctaciones;2025M07;403.841
Total;Noruega;Pernoctaciones;2025M06;251.968
Total;Noruega;Pernoctaciones;2025M05;203.327
Total;Noruega;Pernoctaciones;2025M04;223.273
Total;Noruega;Pernoctaciones;2025M03;277.072
Total;Noruega;Pernoctaciones;2025M02;298.450
Total;Noruega;Pernoctaciones;2025M01;235.891
Total;Noruega;Pernoctaciones;2024M12;192.640
Total;Noruega;Pernoctaciones;2024M11;273.069
Total;Noruega;Pernoctaciones;2024M10;334.131
Total;Noruega;Pernoctaciones;2024M09;225.980
Total;Noruega;Pernoctaciones;2024M08;169.840
Total;Noruega;Pernoctaciones;2024M07;371.003
Total;Noruega;Pernoctaciones;2024M06;224.055
Total;Noruega;Pernoctaciones;2024M05;195.409
Total;Noruega;Pernoctaciones;2024M04;206.647
Total;Noruega;Pernoctaciones;2024M03;321.027
Total;Noruega;Pernoctaciones;2024M02;295.299
Total;Noruega;Pernoctaciones;2024M01;233.547
Total;Noruega;Pernoctaciones;2023M12;193.009
Total;Noruega;Pernoctaciones;2023M11;278.288
Total;Noruega;Pernoctaciones;2023M10;323.588
Total;Noruega;Pernoctaciones;2023M09;219.403
Total;Noruega;Pernoctaciones;2023M08;196.179
Total;Noruega;Pernoctaciones;2023M07;389.425
Total;Noruega;Pernoctaciones;2023M06;237.382
Total;Noruega;Pernoctaciones;2023M05;197.613
Total;Noruega;Pernoctaciones;2023M04;237.343
Total;Noruega;Pernoctaciones;2023M03;296.387
Total;Noruega;Pernoctaciones;2023M02;257.487
Total;Noruega;Pernoctaciones;2023M01;216.925
Total;Noruega;Pernoctaciones;2022M12;205.590
Total;Noruega;Pernoctaciones;2022M11;281.236
Total;Noruega;Pernoctaciones;2022M10;320.957
Total;Noruega;Pernoctaciones;2022M09;228.604
Total;Noruega;Pernoctaciones;2022M08;209.848
Total;Noruega;Pernoctaciones;2022M07;408.179
Total;Noruega;Pernoctaciones;2022M06;236.042
Total;Noruega;Pernoctaciones;2022M05;198.231
Total;Noruega;Pernoctaciones;2022M04;211.008
Total;Noruega;Pernoctaciones;2022M03;214.894
Total;Noruega;Pernoctaciones;2022M02;156.082
Total;Noruega;Pernoctaciones;2022M01;112.573
Total;Reino Unido;Viajero;2026M03;736.828
Total;Reino Unido;Viajero;2026M02;563.696
Total;Reino Unido;Viajero;2026M01;468.292
Total;Reino Unido;Viajero;2025M12;483.421
Total;Reino Unido;Viajero;2025M11;582.481
Total;Reino Unido;Viajero;2025M10;1.178.468
Total;Reino Unido;Viajero;2025M09;1.395.653
Total;Reino Unido;Viajero;2025M08;1.356.369
Total;Reino Unido;Viajero;2025M07;1.386.105
Total;Reino Unido;Viajero;2025M06;1.426.952
Total;Reino Unido;Viajero;2025M05;1.431.540
Total;Reino Unido;Viajero;2025M04;932.026
Total;Reino Unido;Viajero;2025M03;695.543
Total;Reino Unido;Viajero;2025M02;543.099
Total;Reino Unido;Viajero;2025M01;450.569
Total;Reino Unido;Viajero;2024M12;452.151
Total;Reino Unido;Viajero;2024M11;544.599
Total;Reino Unido;Viajero;2024M10;1.112.550
Total;Reino Unido;Viajero;2024M09;1.345.502
Total;Reino Unido;Viajero;2024M08;1.333.270
Total;Reino Unido;Viajero;2024M07;1.311.285
Total;Reino Unido;Viajero;2024M06;1.365.862
Total;Reino Unido;Viajero;2024M05;1.362.521
Total;Reino Unido;Viajero;2024M04;861.943
Total;Reino Unido;Viajero;2024M03;689.776
Total;Reino Unido;Viajero;2024M02;519.513
Total;Reino Unido;Viajero;2024M01;428.802
Total;Reino Unido;Viajero;2023M12;448.005
Total;Reino Unido;Viajero;2023M11;520.064
Total;Reino Unido;Viajero;2023M10;1.077.224
Total;Reino Unido;Viajero;2023M09;1.315.229
Total;Reino Unido;Viajero;2023M08;1.285.936
Total;Reino Unido;Viajero;2023M07;1.297.386
Total;Reino Unido;Viajero;2023M06;1.313.714
Total;Reino Unido;Viajero;2023M05;1.214.064
Total;Reino Unido;Viajero;2023M04;786.934
Total;Reino Unido;Viajero;2023M03;592.671
Total;Reino Unido;Viajero;2023M02;450.143
Total;Reino Unido;Viajero;2023M01;358.996
Total;Reino Unido;Viajero;2022M12;416.521
Total;Reino Unido;Viajero;2022M11;448.512
Total;Reino Unido;Viajero;2022M10;957.600
Total;Reino Unido;Viajero;2022M09;1.237.605
Total;Reino Unido;Viajero;2022M08;1.221.354
Total;Reino Unido;Viajero;2022M07;1.246.024
Total;Reino Unido;Viajero;2022M06;1.223.994
Total;Reino Unido;Viajero;2022M05;1.117.705
Total;Reino Unido;Viajero;2022M04;710.060
Total;Reino Unido;Viajero;2022M03;481.097
Total;Reino Unido;Viajero;2022M02;342.343
Total;Reino Unido;Viajero;2022M01;184.101
Total;Reino Unido;Pernoctaciones;2026M03;3.540.138
Total;Reino Unido;Pernoctaciones;2026M02;2.821.636
Total;Reino Unido;Pernoctaciones;2026M01;2.642.228
Total;Reino Unido;Pernoctaciones;2025M12;2.564.820
Total;Reino Unido;Pernoctaciones;2025M11;2.967.784
Total;Reino Unido;Pernoctaciones;2025M10;6.441.724
Total;Reino Unido;Pernoctaciones;2025M09;7.435.186
Total;Reino Unido;Pernoctaciones;2025M08;7.852.132
Total;Reino Unido;Pernoctaciones;2025M07;7.782.609
Total;Reino Unido;Pernoctaciones;2025M06;7.707.504
Total;Reino Unido;Pernoctaciones;2025M05;7.059.557
Total;Reino Unido;Pernoctaciones;2025M04;4.399.795
Total;Reino Unido;Pernoctaciones;2025M03;3.373.209
Total;Reino Unido;Pernoctaciones;2025M02;2.773.211
Total;Reino Unido;Pernoctaciones;2025M01;2.603.625
Total;Reino Unido;Pernoctaciones;2024M12;2.483.982
Total;Reino Unido;Pernoctaciones;2024M11;2.800.713
Total;Reino Unido;Pernoctaciones;2024M10;6.112.425
Total;Reino Unido;Pernoctaciones;2024M09;7.272.079
Total;Reino Unido;Pernoctaciones;2024M08;7.664.524
Total;Reino Unido;Pernoctaciones;2024M07;7.466.689
Total;Reino Unido;Pernoctaciones;2024M06;7.538.958
Total;Reino Unido;Pernoctaciones;2024M05;6.727.915
Total;Reino Unido;Pernoctaciones;2024M04;4.205.971
Total;Reino Unido;Pernoctaciones;2024M03;3.429.706
Total;Reino Unido;Pernoctaciones;2024M02;2.669.132
Total;Reino Unido;Pernoctaciones;2024M01;2.453.646
Total;Reino Unido;Pernoctaciones;2023M12;2.475.906
Total;Reino Unido;Pernoctaciones;2023M11;2.749.562
Total;Reino Unido;Pernoctaciones;2023M10;6.003.348
Total;Reino Unido;Pernoctaciones;2023M09;7.237.750
Total;Reino Unido;Pernoctaciones;2023M08;7.488.102
Total;Reino Unido;Pernoctaciones;2023M07;7.244.055
Total;Reino Unido;Pernoctaciones;2023M06;7.098.445
Total;Reino Unido;Pernoctaciones;2023M05;6.286.436
Total;Reino Unido;Pernoctaciones;2023M04;3.816.795
Total;Reino Unido;Pernoctaciones;2023M03;2.958.064
Total;Reino Unido;Pernoctaciones;2023M02;2.358.247
Total;Reino Unido;Pernoctaciones;2023M01;2.120.727
Total;Reino Unido;Pernoctaciones;2022M12;2.272.697
Total;Reino Unido;Pernoctaciones;2022M11;2.385.127
Total;Reino Unido;Pernoctaciones;2022M10;5.359.407
Total;Reino Unido;Pernoctaciones;2022M09;6.768.744
Total;Reino Unido;Pernoctaciones;2022M08;7.294.732
Total;Reino Unido;Pernoctaciones;2022M07;7.004.436
Total;Reino Unido;Pernoctaciones;2022M06;6.795.442
Total;Reino Unido;Pernoctaciones;2022M05;5.562.875
Total;Reino Unido;Pernoctaciones;2022M04;3.499.739
Total;Reino Unido;Pernoctaciones;2022M03;2.533.178
Total;Reino Unido;Pernoctaciones;2022M02;1.761.079
Total;Reino Unido;Pernoctaciones;2022M01;1.092.945
Total;Rusia;Viajero;2026M03;""
Total;Rusia;Viajero;2026M02;""
Total;Rusia;Viajero;2026M01;""
Total;Rusia;Viajero;2025M12;""
Total;Rusia;Viajero;2025M11;""
Total;Rusia;Viajero;2025M10;""
Total;Rusia;Viajero;2025M09;""
Total;Rusia;Viajero;2025M08;""
Total;Rusia;Viajero;2025M07;""
Total;Rusia;Viajero;2025M06;""
Total;Rusia;Viajero;2025M05;""
Total;Rusia;Viajero;2025M04;""
Total;Rusia;Viajero;2025M03;""
Total;Rusia;Viajero;2025M02;""
Total;Rusia;Viajero;2025M01;""
Total;Rusia;Viajero;2024M12;""
Total;Rusia;Viajero;2024M11;""
Total;Rusia;Viajero;2024M10;""
Total;Rusia;Viajero;2024M09;""
Total;Rusia;Viajero;2024M08;""
Total;Rusia;Viajero;2024M07;""
Total;Rusia;Viajero;2024M06;""
Total;Rusia;Viajero;2024M05;""
Total;Rusia;Viajero;2024M04;""
Total;Rusia;Viajero;2024M03;""
Total;Rusia;Viajero;2024M02;""
Total;Rusia;Viajero;2024M01;""
Total;Rusia;Viajero;2023M12;""
Total;Rusia;Viajero;2023M11;""
Total;Rusia;Viajero;2023M10;""
Total;Rusia;Viajero;2023M09;""
Total;Rusia;Viajero;2023M08;""
Total;Rusia;Viajero;2023M07;""
Total;Rusia;Viajero;2023M06;""
Total;Rusia;Viajero;2023M05;""
Total;Rusia;Viajero;2023M04;""
Total;Rusia;Viajero;2023M03;""
Total;Rusia;Viajero;2023M02;""
Total;Rusia;Viajero;2023M01;""
Total;Rusia;Viajero;2022M12;""
Total;Rusia;Viajero;2022M11;""
Total;Rusia;Viajero;2022M10;""
Total;Rusia;Viajero;2022M09;""
Total;Rusia;Viajero;2022M08;""
Total;Rusia;Viajero;2022M07;""
Total;Rusia;Viajero;2022M06;""
Total;Rusia;Viajero;2022M05;""
Total;Rusia;Viajero;2022M04;""
Total;Rusia;Viajero;2022M03;""
Total;Rusia;Viajero;2022M02;13.582
Total;Rusia;Viajero;2022M01;15.047
Total;Rusia;Pernoctaciones;2026M03;""
Total;Rusia;Pernoctaciones;2026M02;""
Total;Rusia;Pernoctaciones;2026M01;""
Total;Rusia;Pernoctaciones;2025M12;""
Total;Rusia;Pernoctaciones;2025M11;""
Total;Rusia;Pernoctaciones;2025M10;""
Total;Rusia;Pernoctaciones;2025M09;""
Total;Rusia;Pernoctaciones;2025M08;""
Total;Rusia;Pernoctaciones;2025M07;""
Total;Rusia;Pernoctaciones;2025M06;""
Total;Rusia;Pernoctaciones;2025M05;""
Total;Rusia;Pernoctaciones;2025M04;""
Total;Rusia;Pernoctaciones;2025M03;""
Total;Rusia;Pernoctaciones;2025M02;""
Total;Rusia;Pernoctaciones;2025M01;""
Total;Rusia;Pernoctaciones;2024M12;""
