Variable_original,Etiqueta_Stata,Estado,Variable_destino
c0600b,c0600b: actuales fuentes ingresos (jubilado)?: b. plan de pensiones empresa,Agrupada en variable padre,c0600x
c0600c,c0600c: actuales fuentes ingresos (jubilado)?: c. plan de pensiones individual,Agrupada en variable padre,c0600x
c0600d,c0600d: actuales fuentes ingresos (jubilado)?: d. ingresos pareja,Agrupada en variable padre,c0600x
c0600e,c0600e: actuales fuentes ingresos (jubilado)?: e. ayuda de sus hijos...,Agrupada en variable padre,c0600x
c0600f,c0600f: actuales fuentes ingresos (jubilado)?: f. ingresos de activos...,Agrupada en variable padre,c0600x
c0600g,c0600g: actuales fuentes ingresos (jubilado)?: g. venta activos financieros,Agrupada en variable padre,c0600x
c0600h,c0600h: actuales fuentes ingresos (jubilado)?: h. venta activos no financieros,Agrupada en variable padre,c0600x
c0600i,c0600i: actuales fuentes ingresos (jubilado)?: i. ayuda instituciones beneficas,Agrupada en variable padre,c0600x
c0600j,c0600j: actuales fuentes ingresos (jubilado)?: j. ingresos procedentes de otras ,Agrupada en variable padre,c0600x
c0600k,c0600k: actuales fuentes ingresos (jubilado)?: k. otros,Agrupada en variable padre,c0600x
c0400a,c0400a: actuales fuentes ingresos?: a. seguro publico de desempleo...,Agrupada en variable padre,c0400x
c0400b,c0400b: actuales fuentes ingresos?: b. seguro privado de desempleo...,Agrupada en variable padre,c0400x
c0400c,c0400c: actuales fuentes ingresos?: c. comparte ingresos de su pareja...,Agrupada en variable padre,c0400x
c0400d,c0400d: actuales fuentes ingresos?: d. comparte ingresos con otros...,Agrupada en variable padre,c0400x
c0400e,c0400e: actuales fuentes ingresos?: e. pensión alimentaria/complementaria...,Agrupada en variable padre,c0400x
c0400f,c0400f: actuales fuentes ingresos?: f. ayuda de otros familiares,Agrupada en variable padre,c0400x
c0400g,c0400g: actuales fuentes ingresos?: g. pension de viudedad/incapacidad/orfandad,Agrupada en variable padre,c0400x
c0400h,c0400h: actuales fuentes ingresos?: h. ingresos generados por sus activos financ,Agrupada en variable padre,c0400x
c0400i,c0400i: actuales fuentes ingresos?: i. venta de activos financieros,Agrupada en variable padre,c0400x
c0400j,c0400j: actuales fuentes ingresos?: j. rescate anticipado de un plan de pensione,Agrupada en variable padre,c0400x
c0400k,c0400k: actuales fuentes ingresos?: k. venta activos no financieros,Agrupada en variable padre,c0400x
