Total Nacional;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;10 Comunitat Valenciana;Suecia;Octubre;7.793
Total Nacional;10 Comunitat Valenciana;Suecia;Noviembre;3.558
Total Nacional;10 Comunitat Valenciana;Suecia;Diciembre;2.276
Total Nacional;10 Comunitat Valenciana;Noruega;Total;60.872
Total Nacional;10 Comunitat Valenciana;Noruega;Enero;2.945
Total Nacional;10 Comunitat Valenciana;Noruega;Febrero;4.044
Total Nacional;10 Comunitat Valenciana;Noruega;Marzo;5.865
Total Nacional;10 Comunitat Valenciana;Noruega;Abril;6.613
Total Nacional;10 Comunitat Valenciana;Noruega;Mayo;5.276
Total Nacional;10 Comunitat Valenciana;Noruega;Junio;4.402
Total Nacional;10 Comunitat Valenciana;Noruega;Julio;8.046
Total Nacional;10 Comunitat Valenciana;Noruega;Agosto;3.509
Total Nacional;10 Comunitat Valenciana;Noruega;Septiembre;5.405
Total Nacional;10 Comunitat Valenciana;Noruega;Octubre;8.795
Total Nacional;10 Comunitat Valenciana;Noruega;Noviembre;3.649
Total Nacional;10 Comunitat Valenciana;Noruega;Diciembre;2.322
Total Nacional;10 Comunitat Valenciana;Reino Unido;Total;1.267.105
Total Nacional;10 Comunitat Valenciana;Reino Unido;Enero;53.163
Total Nacional;10 Comunitat Valenciana;Reino Unido;Febrero;69.936
Total Nacional;10 Comunitat Valenciana;Reino Unido;Marzo;106.595
Total Nacional;10 Comunitat Valenciana;Reino Unido;Abril;122.381
Total Nacional;10 Comunitat Valenciana;Reino Unido;Mayo;144.616
Total Nacional;10 Comunitat Valenciana;Reino Unido;Junio;132.339
Total Nacional;10 Comunitat Valenciana;Reino Unido;Julio;119.652
Total Nacional;10 Comunitat Valenciana;Reino Unido;Agosto;106.364
Total Nacional;10 Comunitat Valenciana;Reino Unido;Septiembre;134.097
Total Nacional;10 Comunitat Valenciana;Reino Unido;Octubre;121.849
Total Nacional;10 Comunitat Valenciana;Reino Unido;Noviembre;95.142
Total Nacional;10 Comunitat Valenciana;Reino Unido;Diciembre;60.971
Total Nacional;10 Comunitat Valenciana;Suiza;Total;74.590
Total Nacional;10 Comunitat Valenciana;Suiza;Enero;2.641
Total Nacional;10 Comunitat Valenciana;Suiza;Febrero;4.477
Total Nacional;10 Comunitat Valenciana;Suiza;Marzo;6.571
Total Nacional;10 Comunitat Valenciana;Suiza;Abril;7.460
Total Nacional;10 Comunitat Valenciana;Suiza;Mayo;7.649
Total Nacional;10 Comunitat Valenciana;Suiza;Junio;6.775
Total Nacional;10 Comunitat Valenciana;Suiza;Julio;9.450
Total Nacional;10 Comunitat Valenciana;Suiza;Agosto;5.924
Total Nacional;10 Comunitat Valenciana;Suiza;Septiembre;7.860
Total Nacional;10 Comunitat Valenciana;Suiza;Octubre;9.225
Total Nacional;10 Comunitat Valenciana;Suiza;Noviembre;2.635
Total Nacional;10 Comunitat Valenciana;Suiza;Diciembre;3.923
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Total;152.978
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Enero;9.829
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Febrero;9.785
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Marzo;11.205
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Abril;12.857
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Mayo;15.162
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Junio;13.591
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Julio;15.867
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Agosto;17.017
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Septiembre;16.602
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Octubre;14.631
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Noviembre;8.746
Total Nacional;10 Comunitat Valenciana;Resto de Europa sin U.E.;Diciembre;7.688
Total Nacional;10 Comunitat Valenciana;Japón;Total;15.649
Total Nacional;10 Comunitat Valenciana;Japón;Enero;1.101
Total Nacional;10 Comunitat Valenciana;Japón;Febrero;1.217
Total Nacional;10 Comunitat Valenciana;Japón;Marzo;1.238
Total Nacional;10 Comunitat Valenciana;Japón;Abril;1.530
Total Nacional;10 Comunitat Valenciana;Japón;Mayo;2.013
Total Nacional;10 Comunitat Valenciana;Japón;Junio;1.210
Total Nacional;10 Comunitat Valenciana;Japón;Julio;1.490
Total Nacional;10 Comunitat Valenciana;Japón;Agosto;1.203
Total Nacional;10 Comunitat Valenciana;Japón;Septiembre;1.810
Total Nacional;10 Comunitat Valenciana;Japón;Octubre;1.128
Total Nacional;10 Comunitat Valenciana;Japón;Noviembre;1.004
Total Nacional;10 Comunitat Valenciana;Japón;Diciembre;706
Total Nacional;10 Comunitat Valenciana;República China;Total;70.571
Total Nacional;10 Comunitat Valenciana;República China;Enero;3.582
Total Nacional;10 Comunitat Valenciana;República China;Febrero;5.091
Total Nacional;10 Comunitat Valenciana;República China;Marzo;7.819
Total Nacional;10 Comunitat Valenciana;República China;Abril;7.237
Total Nacional;10 Comunitat Valenciana;República China;Mayo;7.798
Total Nacional;10 Comunitat Valenciana;República China;Junio;5.132
Total Nacional;10 Comunitat Valenciana;República China;Julio;4.787
Total Nacional;10 Comunitat Valenciana;República China;Agosto;5.367
Total Nacional;10 Comunitat Valenciana;República China;Septiembre;6.589
Total Nacional;10 Comunitat Valenciana;República China;Octubre;7.231
Total Nacional;10 Comunitat Valenciana;República China;Noviembre;5.494
Total Nacional;10 Comunitat Valenciana;República China;Diciembre;4.444
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Total;160.415
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Enero;7.054
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Febrero;7.810
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Marzo;14.363
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Abril;13.819
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Mayo;17.406
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Junio;19.860
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Julio;17.974
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Agosto;14.221
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Septiembre;16.390
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Octubre;16.675
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Noviembre;7.681
Total Nacional;10 Comunitat Valenciana;Estados Unidos;Diciembre;7.162
Total Nacional;10 Comunitat Valenciana;Resto de América;Total;247.403
Total Nacional;10 Comunitat Valenciana;Resto de América;Enero;13.688
Total Nacional;10 Comunitat Valenciana;Resto de América;Febrero;14.185
Total Nacional;10 Comunitat Valenciana;Resto de América;Marzo;17.662
Total Nacional;10 Comunitat Valenciana;Resto de América;Abril;18.223
Total Nacional;10 Comunitat Valenciana;Resto de América;Mayo;24.223
Total Nacional;10 Comunitat Valenciana;Resto de América;Junio;24.269
Total Nacional;10 Comunitat Valenciana;Resto de América;Julio;27.664
Total Nacional;10 Comunitat Valenciana;Resto de América;Agosto;31.371
Total Nacional;10 Comunitat Valenciana;Resto de América;Septiembre;26.895
Total Nacional;10 Comunitat Valenciana;Resto de América;Octubre;24.213
Total Nacional;10 Comunitat Valenciana;Resto de América;Noviembre;13.136
Total Nacional;10 Comunitat Valenciana;Resto de América;Diciembre;11.875
Total Nacional;10 Comunitat Valenciana;Países africanos;Total;106.629
Total Nacional;10 Comunitat Valenciana;Países africanos;Enero;6.446
Total Nacional;10 Comunitat Valenciana;Países africanos;Febrero;8.144
Total Nacional;10 Comunitat Valenciana;Países africanos;Marzo;5.169
Total Nacional;10 Comunitat Valenciana;Países africanos;Abril;6.040
Total Nacional;10 Comunitat Valenciana;Países africanos;Mayo;7.886
Total Nacional;10 Comunitat Valenciana;Países africanos;Junio;6.952
Total Nacional;10 Comunitat Valenciana;Países africanos;Julio;14.245
Total Nacional;10 Comunitat Valenciana;Países africanos;Agosto;17.873
Total Nacional;10 Comunitat Valenciana;Países africanos;Septiembre;8.923
Total Nacional;10 Comunitat Valenciana;Países africanos;Octubre;9.739
Total Nacional;10 Comunitat Valenciana;Países africanos;Noviembre;7.055
Total Nacional;10 Comunitat Valenciana;Países africanos;Diciembre;8.158
Total Nacional;13 Madrid, Comunidad de;Total;Total;13.291.332
Total Nacional;13 Madrid, Comunidad de;Total;Enero;895.214
Total Nacional;13 Madrid, Comunidad de;Total;Febrero;972.927
Total Nacional;13 Madrid, Comunidad de;Total;Marzo;1.094.034
Total Nacional;13 Madrid, Comunidad de;Total;Abril;1.126.754
Total Nacional;13 Madrid, Comunidad de;Total;Mayo;1.231.218
Total Nacional;13 Madrid, Comunidad de;Total;Junio;1.189.952
Total Nacional;13 Madrid, Comunidad de;Total;Julio;1.173.350
Total Nacional;13 Madrid, Comunidad de;Total;Agosto;1.025.471
Total Nacional;13 Madrid, Comunidad de;Total;Septiembre;1.170.483
Total Nacional;13 Madrid, Comunidad de;Total;Octubre;1.228.195
Total Nacional;13 Madrid, Comunidad de;Total;Noviembre;1.125.101
Total Nacional;13 Madrid, Comunidad de;Total;Diciembre;1.058.633
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Total;6.655.039
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Enero;490.157
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Febrero;543.763
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Marzo;578.912
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Abril;517.185
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Mayo;582.493
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Junio;598.737
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Julio;575.463
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Agosto;469.667
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Septiembre;536.583
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Octubre;563.246
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Noviembre;591.976
Total Nacional;13 Madrid, Comunidad de;Residentes en España;Diciembre;606.856
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Total;6.636.293
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Enero;405.057
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Febrero;429.164
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Marzo;515.122
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Abril;609.568
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Mayo;648.725
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Junio;591.215
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Julio;597.887
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Agosto;555.803
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Septiembre;633.900
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Octubre;664.949
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Noviembre;533.125
Total Nacional;13 Madrid, Comunidad de;No residentes en España;Diciembre;451.778
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Total;2.114.867
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Enero;130.732
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Febrero;157.500
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Marzo;176.260
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Abril;212.095
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Mayo;194.586
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Junio;167.335
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Julio;173.354
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Agosto;185.846
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Septiembre;179.170
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Octubre;213.080
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Noviembre;176.300
Total Nacional;13 Madrid, Comunidad de;Unión Europea 27 (sin España);Diciembre;148.611
Total Nacional;13 Madrid, Comunidad de;Alemania;Total;245.897
Total Nacional;13 Madrid, Comunidad de;Alemania;Enero;13.404
Total Nacional;13 Madrid, Comunidad de;Alemania;Febrero;17.732
Total Nacional;13 Madrid, Comunidad de;Alemania;Marzo;24.266
Total Nacional;13 Madrid, Comunidad de;Alemania;Abril;25.819
Total Nacional;13 Madrid, Comunidad de;Alemania;Mayo;27.159
Total Nacional;13 Madrid, Comunidad de;Alemania;Junio;20.415
Total Nacional;13 Madrid, Comunidad de;Alemania;Julio;19.818
Total Nacional;13 Madrid, Comunidad de;Alemania;Agosto;14.191
Total Nacional;13 Madrid, Comunidad de;Alemania;Septiembre;23.073
Total Nacional;13 Madrid, Comunidad de;Alemania;Octubre;26.643
Total Nacional;13 Madrid, Comunidad de;Alemania;Noviembre;18.655
Total Nacional;13 Madrid, Comunidad de;Alemania;Diciembre;14.721
Total Nacional;13 Madrid, Comunidad de;Austria;Total;38.218
Total Nacional;13 Madrid, Comunidad de;Austria;Enero;1.919
Total Nacional;13 Madrid, Comunidad de;Austria;Febrero;2.948
Total Nacional;13 Madrid, Comunidad de;Austria;Marzo;5.162
Total Nacional;13 Madrid, Comunidad de;Austria;Abril;4.001
Total Nacional;13 Madrid, Comunidad de;Austria;Mayo;4.088
Total Nacional;13 Madrid, Comunidad de;Austria;Junio;3.711
Total Nacional;13 Madrid, Comunidad de;Austria;Julio;2.214
Total Nacional;13 Madrid, Comunidad de;Austria;Agosto;2.054
Total Nacional;13 Madrid, Comunidad de;Austria;Septiembre;3.324
Total Nacional;13 Madrid, Comunidad de;Austria;Octubre;3.715
Total Nacional;13 Madrid, Comunidad de;Austria;Noviembre;3.185
Total Nacional;13 Madrid, Comunidad de;Austria;Diciembre;1.896
Total Nacional;13 Madrid, Comunidad de;Bélgica;Total;84.584
Total Nacional;13 Madrid, Comunidad de;Bélgica;Enero;4.310
Total Nacional;13 Madrid, Comunidad de;Bélgica;Febrero;5.680
Total Nacional;13 Madrid, Comunidad de;Bélgica;Marzo;6.484
Total Nacional;13 Madrid, Comunidad de;Bélgica;Abril;8.289
Total Nacional;13 Madrid, Comunidad de;Bélgica;Mayo;7.418
Total Nacional;13 Madrid, Comunidad de;Bélgica;Junio;6.217
Total Nacional;13 Madrid, Comunidad de;Bélgica;Julio;10.363
Total Nacional;13 Madrid, Comunidad de;Bélgica;Agosto;9.081
Total Nacional;13 Madrid, Comunidad de;Bélgica;Septiembre;7.069
Total Nacional;13 Madrid, Comunidad de;Bélgica;Octubre;8.096
Total Nacional;13 Madrid, Comunidad de;Bélgica;Noviembre;6.802
Total Nacional;13 Madrid, Comunidad de;Bélgica;Diciembre;4.776
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Total;30.150
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Enero;1.659
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Febrero;1.854
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Marzo;3.157
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Abril;3.257
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Mayo;2.884
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Junio;2.611
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Julio;2.647
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Agosto;1.683
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Septiembre;3.040
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Octubre;3.208
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Noviembre;2.493
Total Nacional;13 Madrid, Comunidad de;Dinamarca;Diciembre;1.657
Total Nacional;13 Madrid, Comunidad de;Finlandia;Total;25.792
Total Nacional;13 Madrid, Comunidad de;Finlandia;Enero;1.700
Total Nacional;13 Madrid, Comunidad de;Finlandia;Febrero;1.565
Total Nacional;13 Madrid, Comunidad de;Finlandia;Marzo;1.795
Total Nacional;13 Madrid, Comunidad de;Finlandia;Abril;2.574
Total Nacional;13 Madrid, Comunidad de;Finlandia;Mayo;2.929
Total Nacional;13 Madrid, Comunidad de;Finlandia;Junio;2.208
Total Nacional;13 Madrid, Comunidad de;Finlandia;Julio;1.421
Total Nacional;13 Madrid, Comunidad de;Finlandia;Agosto;1.073
Total Nacional;13 Madrid, Comunidad de;Finlandia;Septiembre;2.227
Total Nacional;13 Madrid, Comunidad de;Finlandia;Octubre;4.032
Total Nacional;13 Madrid, Comunidad de;Finlandia;Noviembre;2.018
Total Nacional;13 Madrid, Comunidad de;Finlandia;Diciembre;2.250
Total Nacional;13 Madrid, Comunidad de;Francia;Total;427.304
Total Nacional;13 Madrid, Comunidad de;Francia;Enero;24.889
Total Nacional;13 Madrid, Comunidad de;Francia;Febrero;30.397
Total Nacional;13 Madrid, Comunidad de;Francia;Marzo;30.400
Total Nacional;13 Madrid, Comunidad de;Francia;Abril;40.277
Total Nacional;13 Madrid, Comunidad de;Francia;Mayo;39.911
Total Nacional;13 Madrid, Comunidad de;Francia;Junio;33.085
Total Nacional;13 Madrid, Comunidad de;Francia;Julio;36.491
Total Nacional;13 Madrid, Comunidad de;Francia;Agosto;50.097
Total Nacional;13 Madrid, Comunidad de;Francia;Septiembre;33.647
Total Nacional;13 Madrid, Comunidad de;Francia;Octubre;45.177
Total Nacional;13 Madrid, Comunidad de;Francia;Noviembre;33.401
Total Nacional;13 Madrid, Comunidad de;Francia;Diciembre;29.532
Total Nacional;13 Madrid, Comunidad de;Grecia;Total;36.693
Total Nacional;13 Madrid, Comunidad de;Grecia;Enero;3.012
Total Nacional;13 Madrid, Comunidad de;Grecia;Febrero;4.146
Total Nacional;13 Madrid, Comunidad de;Grecia;Marzo;2.107
Total Nacional;13 Madrid, Comunidad de;Grecia;Abril;4.142
Total Nacional;13 Madrid, Comunidad de;Grecia;Mayo;2.407
Total Nacional;13 Madrid, Comunidad de;Grecia;Junio;3.013
Total Nacional;13 Madrid, Comunidad de;Grecia;Julio;2.137
Total Nacional;13 Madrid, Comunidad de;Grecia;Agosto;2.648
Total Nacional;13 Madrid, Comunidad de;Grecia;Septiembre;2.867
Total Nacional;13 Madrid, Comunidad de;Grecia;Octubre;3.333
Total Nacional;13 Madrid, Comunidad de;Grecia;Noviembre;3.392
Total Nacional;13 Madrid, Comunidad de;Grecia;Diciembre;3.490
Total Nacional;13 Madrid, Comunidad de;Irlanda;Total;62.708
Total Nacional;13 Madrid, Comunidad de;Irlanda;Enero;4.264
Total Nacional;13 Madrid, Comunidad de;Irlanda;Febrero;5.332
Total Nacional;13 Madrid, Comunidad de;Irlanda;Marzo;5.125
Total Nacional;13 Madrid, Comunidad de;Irlanda;Abril;6.866
Total Nacional;13 Madrid, Comunidad de;Irlanda;Mayo;6.028
Total Nacional;13 Madrid, Comunidad de;Irlanda;Junio;5.519
Total Nacional;13 Madrid, Comunidad de;Irlanda;Julio;4.885
Total Nacional;13 Madrid, Comunidad de;Irlanda;Agosto;3.747
Total Nacional;13 Madrid, Comunidad de;Irlanda;Septiembre;6.285
Total Nacional;13 Madrid, Comunidad de;Irlanda;Octubre;6.321
Total Nacional;13 Madrid, Comunidad de;Irlanda;Noviembre;5.254
Total Nacional;13 Madrid, Comunidad de;Irlanda;Diciembre;3.083
Total Nacional;13 Madrid, Comunidad de;Italia;Total;435.534
Total Nacional;13 Madrid, Comunidad de;Italia;Enero;31.113
Total Nacional;13 Madrid, Comunidad de;Italia;Febrero;33.044
Total Nacional;13 Madrid, Comunidad de;Italia;Marzo;38.833
Total Nacional;13 Madrid, Comunidad de;Italia;Abril;44.517
Total Nacional;13 Madrid, Comunidad de;Italia;Mayo;39.221
Total Nacional;13 Madrid, Comunidad de;Italia;Junio;33.077
Total Nacional;13 Madrid, Comunidad de;Italia;Julio;31.016
Total Nacional;13 Madrid, Comunidad de;Italia;Agosto;37.183
Total Nacional;13 Madrid, Comunidad de;Italia;Septiembre;34.459
Total Nacional;13 Madrid, Comunidad de;Italia;Octubre;39.511
Total Nacional;13 Madrid, Comunidad de;Italia;Noviembre;38.916
Total Nacional;13 Madrid, Comunidad de;Italia;Diciembre;34.645
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Total;7.956
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Enero;472
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Febrero;471
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Marzo;538
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Abril;1.067
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Mayo;758
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Junio;750
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Julio;542
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Agosto;477
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Septiembre;816
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Octubre;546
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Noviembre;904
Total Nacional;13 Madrid, Comunidad de;Luxemburgo;Diciembre;617
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Total;117.623
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Enero;6.355
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Febrero;7.367
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Marzo;8.409
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Abril;11.064
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Mayo;10.957
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Junio;9.482
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Julio;12.480
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Agosto;10.973
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Septiembre;10.348
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Octubre;13.089
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Noviembre;9.470
Total Nacional;13 Madrid, Comunidad de;Países Bajos;Diciembre;7.631
Total Nacional;13 Madrid, Comunidad de;Polonia;Total;71.710
Total Nacional;13 Madrid, Comunidad de;Polonia;Enero;4.770
Total Nacional;13 Madrid, Comunidad de;Polonia;Febrero;5.029
Total Nacional;13 Madrid, Comunidad de;Polonia;Marzo;5.419
Total Nacional;13 Madrid, Comunidad de;Polonia;Abril;8.061
Total Nacional;13 Madrid, Comunidad de;Polonia;Mayo;6.844
Total Nacional;13 Madrid, Comunidad de;Polonia;Junio;5.997
Total Nacional;13 Madrid, Comunidad de;Polonia;Julio;5.059
Total Nacional;13 Madrid, Comunidad de;Polonia;Agosto;5.064
Total Nacional;13 Madrid, Comunidad de;Polonia;Septiembre;6.795
Total Nacional;13 Madrid, Comunidad de;Polonia;Octubre;9.177
Total Nacional;13 Madrid, Comunidad de;Polonia;Noviembre;6.330
Total Nacional;13 Madrid, Comunidad de;Polonia;Diciembre;3.166
Total Nacional;13 Madrid, Comunidad de;Portugal;Total;291.909
Total Nacional;13 Madrid, Comunidad de;Portugal;Enero;18.342
Total Nacional;13 Madrid, Comunidad de;Portugal;Febrero;22.432
Total Nacional;13 Madrid, Comunidad de;Portugal;Marzo;24.104
Total Nacional;13 Madrid, Comunidad de;Portugal;Abril;26.483
Total Nacional;13 Madrid, Comunidad de;Portugal;Mayo;21.533
Total Nacional;13 Madrid, Comunidad de;Portugal;Junio;21.838
Total Nacional;13 Madrid, Comunidad de;Portugal;Julio;25.612
Total Nacional;13 Madrid, Comunidad de;Portugal;Agosto;33.484
Total Nacional;13 Madrid, Comunidad de;Portugal;Septiembre;25.393
Total Nacional;13 Madrid, Comunidad de;Portugal;Octubre;24.403
Total Nacional;13 Madrid, Comunidad de;Portugal;Noviembre;24.677
Total Nacional;13 Madrid, Comunidad de;Portugal;Diciembre;23.609
Total Nacional;13 Madrid, Comunidad de;República Checa;Total;22.173
Total Nacional;13 Madrid, Comunidad de;República Checa;Enero;1.291
Total Nacional;13 Madrid, Comunidad de;República Checa;Febrero;1.840
Total Nacional;13 Madrid, Comunidad de;República Checa;Marzo;1.909
Total Nacional;13 Madrid, Comunidad de;República Checa;Abril;2.705
Total Nacional;13 Madrid, Comunidad de;República Checa;Mayo;2.207
Total Nacional;13 Madrid, Comunidad de;República Checa;Junio;1.991
Total Nacional;13 Madrid, Comunidad de;República Checa;Julio;1.393
Total Nacional;13 Madrid, Comunidad de;República Checa;Agosto;1.220
Total Nacional;13 Madrid, Comunidad de;República Checa;Septiembre;1.965
Total Nacional;13 Madrid, Comunidad de;República Checa;Octubre;2.208
Total Nacional;13 Madrid, Comunidad de;República Checa;Noviembre;1.890
Total Nacional;13 Madrid, Comunidad de;República Checa;Diciembre;1.554
Total Nacional;13 Madrid, Comunidad de;Suecia;Total;42.158
Total Nacional;13 Madrid, Comunidad de;Suecia;Enero;2.576
Total Nacional;13 Madrid, Comunidad de;Suecia;Febrero;3.104
Total Nacional;13 Madrid, Comunidad de;Suecia;Marzo;3.682
Total Nacional;13 Madrid, Comunidad de;Suecia;Abril;5.740
Total Nacional;13 Madrid, Comunidad de;Suecia;Mayo;3.324
Total Nacional;13 Madrid, Comunidad de;Suecia;Junio;3.694
Total Nacional;13 Madrid, Comunidad de;Suecia;Julio;3.108
Total Nacional;13 Madrid, Comunidad de;Suecia;Agosto;1.888
Total Nacional;13 Madrid, Comunidad de;Suecia;Septiembre;3.729
Total Nacional;13 Madrid, Comunidad de;Suecia;Octubre;4.869
Total Nacional;13 Madrid, Comunidad de;Suecia;Noviembre;4.066
Total Nacional;13 Madrid, Comunidad de;Suecia;Diciembre;2.379
Total Nacional;13 Madrid, Comunidad de;Noruega;Total;23.990
Total Nacional;13 Madrid, Comunidad de;Noruega;Enero;901
Total Nacional;13 Madrid, Comunidad de;Noruega;Febrero;1.807
Total Nacional;13 Madrid, Comunidad de;Noruega;Marzo;1.848
Total Nacional;13 Madrid, Comunidad de;Noruega;Abril;2.782
Total Nacional;13 Madrid, Comunidad de;Noruega;Mayo;2.547
Total Nacional;13 Madrid, Comunidad de;Noruega;Junio;2.107
Total Nacional;13 Madrid, Comunidad de;Noruega;Julio;2.022
Total Nacional;13 Madrid, Comunidad de;Noruega;Agosto;1.316
Total Nacional;13 Madrid, Comunidad de;Noruega;Septiembre;2.567
Total Nacional;13 Madrid, Comunidad de;Noruega;Octubre;2.711
Total Nacional;13 Madrid, Comunidad de;Noruega;Noviembre;1.910
Total Nacional;13 Madrid, Comunidad de;Noruega;Diciembre;1.468
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Total;326.817
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Enero;18.090
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Febrero;23.350
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Marzo;27.625
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Abril;30.750
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Mayo;34.516
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Junio;29.370
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Julio;29.572
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Agosto;22.542
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Septiembre;34.788
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Octubre;31.681
Total Nacional;13 Madrid, Comunidad de;Reino Unido;Noviembre;26.581
