apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,first_review_date,last_review_date,number_of_reviews,reviews_per_month,city,insert_date,price_missing,reviews 80+
19465312,Entire home/apt,690.0,True,30,31,31,31,,,,0,,Girona,2019-11-30,False,
19465366,Entire home/apt,1150.0,True,0,0,0,0,93,2017-11-21,2019-05-06,9,0.36,Valencia,2019-12-31,False,True
19465513,Entire home/apt,1100.0,True,30,50,63,157,95,2017-07-24,2019-10-18,39,1.14,Mallorca,2020-05-28,False,True
19465790,Entire home/apt,1000.0,True,27,55,57,332,100,2017-08-05,2020-01-01,15,0.44,Girona,2020-05-28,False,True
19465905,Private room,890.0,True,22,44,74,338,100,2017-07-13,2017-07-13,1,0.25,Barcelona,2017-11-13,False,True
19468043,Entire home/apt,650.0,True,30,60,90,180,100,2018-04-01,2019-09-11,13,0.68,Girona,2019-10-30,False,True
19469108,Entire home/apt,1150.0,True,0,0,0,214,75,2017-07-22,2018-07-13,4,0.24,Mallorca,2018-12-18,False,False
19471428,Entire home/apt,550.0,True,6,28,43,313,89,2017-06-26,2018-09-08,48,3.3,Madrid,2018-09-11,False,True
19480905,Entire home/apt,3000.0,True,0,0,0,28,100,2017-07-27,2017-09-02,2,0.07,Mallorca,2020-01-29,False,True
19483851,Entire home/apt,590.0,True,7,29,59,334,60,2017-09-24,2019-05-02,5,0.21,Madrid,2019-09-19,False,False
19485026,Entire home/apt,1000.0,True,0,0,0,0,,,,0,,Madrid,2019-01-14,False,
19487935,Entire home/apt,1390.0,True,10,25,25,46,100,2017-07-15,2017-10-08,5,1.26,Barcelona,2017-11-13,False,True
19496313,Entire home/apt,1300.0,True,3,26,43,318,90,2017-08-23,2018-06-15,2,0.18,Mallorca,2018-07-29,False,True
19497294,Private room,280.0,True,29,59,89,364,98,2017-07-04,2018-08-27,19,1.37,Girona,2018-08-30,False,True
19501324,Entire home/apt,1000.0,True,18,48,71,157,97,2017-06-30,2018-07-08,30,2.43,Madrid,2018-07-10,False,True
19501715,Entire home/apt,400.0,True,27,57,69,341,94,2017-07-16,2019-04-21,47,2.1,Girona,2019-05-29,False,True
19503907,Private room,400.0,True,0,0,0,0,,,,0,,Barcelona,2019-01-14,False,
19512272,Entire home/apt,700.0,True,15,25,47,103,80,2018-04-26,2019-02-24,2,0.18,Sevilla,2019-03-28,False,True
19512307,Entire home/apt,1400.0,True,25,55,85,350,80,2017-07-28,2019-09-13,14,0.54,Mallorca,2019-09-28,False,True
19513173,Entire home/apt,4000.0,True,30,60,90,365,91,2017-07-23,2020-01-02,16,0.45,Barcelona,2020-07-17,False,True
19514521,Entire home/apt,420.0,True,0,0,0,0,85,2018-04-24,2020-05-15,4,0.15,Madrid,2020-07-17,False,True
